Date,Confirmed,Recovered,Deceased,Active,Total Confirmed,Total Recovered,Total Deceased
2020-03-14,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0,0
2020-03-22,2,0,1,1,2,0,1
2020-03-23,1,0,0,2,3,0,1
2020-03-24,0,0,0,2,3,0,1
2020-03-25,1,0,0,3,4,0,1
2020-03-26,3,0,0,6,7,0,1
2020-03-27,2,0,0,8,9,0,1
2020-03-28,2,0,0,10,11,0,1
2020-03-29,4,0,0,14,15,0,1
2020-03-30,0,0,0,14,15,0,1
2020-03-31,6,0,0,20,21,0,1
2020-04-01,3,0,0,23,24,0,1
2020-04-02,5,3,0,25,29,3,1
2020-04-03,2,0,0,27,31,3,1
2020-04-04,1,0,0,28,32,3,1
2020-04-05,0,0,0,28,32,3,1
2020-04-06,0,6,0,22,32,9,1
2020-04-07,6,6,0,22,38,15,1
2020-04-08,1,0,0,23,39,15,1
2020-04-09,19,0,0,42,58,15,1
2020-04-10,2,0,0,44,60,15,1
2020-04-11,4,0,0,48,64,15,1
2020-04-12,0,11,0,37,64,26,1
2020-04-13,2,2,0,37,66,28,1
2020-04-14,0,1,0,36,66,29,1
2020-04-15,6,0,0,42,72,29,1
2020-04-16,11,8,0,45,83,37,1
2020-04-17,2,0,0,47,85,37,1
2020-04-18,1,5,1,42,86,42,2
2020-04-19,10,0,0,52,96,42,2
2020-04-20,17,0,0,69,113,42,2
2020-04-21,13,0,0,82,126,42,2
2020-04-22,17,0,0,99,143,42,2
2020-04-23,27,2,0,124,170,44,2
2020-04-24,53,0,0,177,223,44,2
2020-04-25,28,1,0,204,251,45,2
2020-04-26,26,11,0,219,277,56,2
2020-04-27,69,0,0,288,346,56,2
2020-04-28,20,8,0,300,366,64,2
2020-04-29,37,0,0,337,403,64,2
2020-04-30,22,20,0,339,425,84,2
2020-05-01,41,14,1,365,466,98,3
2020-05-02,15,19,1,360,481,117,4
2020-05-03,36,7,0,389,517,124,4
2020-05-04,11,3,0,397,528,127,4
2020-05-05,7,31,0,373,535,158,4
2020-05-06,7,0,0,380,542,158,4
2020-05-07,8,60,1,327,550,218,5
2020-05-08,29,49,0,307,579,267,5
2020-05-09,32,51,0,288,611,318,5
2020-05-10,96,36,1,347,707,354,6
2020-05-11,42,23,0,366,749,377,6
2020-05-12,130,5,0,491,879,382,6
2020-05-13,74,18,1,546,953,400,7
2020-05-14,46,12,0,580,999,412,7
2020-05-15,34,28,0,586,1033,440,7
2020-05-16,145,33,1,697,1178,473,8
2020-05-17,142,0,0,839,1320,473,8
2020-05-18,103,44,1,897,1423,517,9
2020-05-19,96,0,0,993,1519,517,9
2020-05-20,257,54,0,1196,1776,571,9
2020-05-21,211,0,0,1407,1987,571,9
2020-05-22,179,58,2,1526,2166,629,11
2020-05-23,228,24,0,1730,2394,653,11
2020-05-24,180,49,0,1861,2574,702,11
2020-05-25,163,31,2,1991,2737,733,13
2020-05-26,231,67,1,2154,2968,800,14
2020-05-27,68,118,1,2103,3036,918,15
2020-05-28,149,132,0,2120,3185,1050,15
2020-05-29,174,159,0,2135,3359,1209,15
2020-05-30,206,102,6,2233,3565,1311,21
2020-05-31,242,209,2,2264,3807,1520,23
