Date,Confirmed,Recovered,Deceased,Active,Total Confirmed,Total Recovered,Total Deceased
2020-03-14,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0,0
2020-03-25,3,0,0,3,3,0,0
2020-03-26,0,0,0,3,3,0,0
2020-03-27,0,0,0,3,3,0,0
2020-03-28,0,0,0,3,3,0,0
2020-03-29,2,0,0,5,5,0,0
2020-03-30,0,0,0,5,5,0,0
2020-03-31,0,0,0,5,5,0,0
2020-04-01,0,0,0,5,5,0,0
2020-04-02,0,0,0,5,5,0,0
2020-04-03,1,0,0,6,6,0,0
2020-04-04,1,0,0,7,7,0,0
2020-04-05,0,0,0,7,7,0,0
2020-04-06,0,0,0,7,7,0,0
2020-04-07,0,0,0,7,7,0,0
2020-04-08,0,0,0,7,7,0,0
2020-04-09,0,0,0,7,7,0,0
2020-04-10,0,1,0,6,7,1,0
2020-04-11,0,4,0,2,7,5,0
2020-04-12,0,0,0,2,7,5,0
2020-04-13,0,0,0,2,7,5,0
2020-04-14,0,0,0,2,7,5,0
2020-04-15,0,1,0,1,7,6,0
2020-04-16,0,0,0,1,7,6,0
2020-04-17,0,0,0,1,7,6,0
2020-04-18,0,0,0,1,7,6,0
2020-04-19,0,1,0,0,7,7,0
2020-04-20,0,0,0,0,7,7,0
2020-04-21,0,0,0,0,7,7,0
2020-04-22,0,0,0,0,7,7,0
2020-04-23,0,0,0,0,7,7,0
2020-04-24,0,0,0,0,7,7,0
2020-04-25,0,0,0,0,7,7,0
2020-04-26,0,0,0,0,7,7,0
2020-04-27,0,0,0,0,7,7,0
2020-04-28,0,0,0,0,7,7,0
2020-04-29,0,0,0,0,7,7,0
2020-04-30,0,0,0,0,7,7,0
2020-05-01,0,0,0,0,7,7,0
2020-05-02,0,0,0,0,7,7,0
2020-05-03,0,0,0,0,7,7,0
2020-05-04,0,0,0,0,7,7,0
2020-05-05,0,0,0,0,7,7,0
2020-05-06,0,0,0,0,7,7,0
2020-05-07,0,0,0,0,7,7,0
2020-05-08,0,0,0,0,7,7,0
2020-05-09,0,0,0,0,7,7,0
2020-05-10,0,0,0,0,7,7,0
2020-05-11,0,0,0,0,7,7,0
2020-05-12,0,0,0,0,7,7,0
2020-05-13,0,0,0,0,7,7,0
2020-05-14,8,0,0,8,15,7,0
2020-05-15,0,0,0,8,15,7,0
2020-05-16,5,0,0,13,20,7,0
2020-05-17,9,0,0,22,29,7,0
2020-05-18,9,0,0,31,38,7,0
2020-05-19,8,0,0,39,46,7,0
2020-05-20,4,0,0,43,50,7,0
2020-05-21,2,0,0,45,52,7,0
2020-05-22,2,9,0,38,54,16,0
2020-05-23,1,0,0,39,55,16,0
2020-05-24,11,0,0,50,66,16,0
2020-05-25,1,3,0,48,67,19,0
2020-05-26,0,9,0,39,67,28,0
2020-05-27,1,9,0,31,68,37,0
2020-05-28,1,1,0,31,69,38,0
2020-05-29,0,3,0,28,69,41,0
2020-05-30,1,1,0,28,70,42,0
2020-05-31,1,2,0,27,71,44,0
