Date,Confirmed,Recovered,Deceased,Active,Total Confirmed,Total Recovered,Total Deceased
2020-03-14,6,0,1,5,6,0,1
2020-03-15,0,0,0,5,6,0,1
2020-03-16,1,0,0,6,7,0,1
2020-03-17,2,0,0,8,9,0,1
2020-03-18,5,0,0,13,14,0,1
2020-03-19,1,0,0,14,15,0,1
2020-03-20,0,1,0,13,15,1,1
2020-03-21,5,0,0,18,20,1,1
2020-03-22,6,0,0,24,26,1,1
2020-03-23,7,1,0,30,33,2,1
2020-03-24,8,1,0,37,41,3,1
2020-03-25,10,0,0,47,51,3,1
2020-03-26,4,0,1,50,55,3,2
2020-03-27,9,2,1,56,64,5,3
2020-03-28,17,0,0,73,81,5,3
2020-03-29,2,0,0,75,83,5,3
2020-03-30,5,1,0,79,88,6,3
2020-03-31,13,2,0,90,101,8,3
2020-04-01,9,1,0,98,110,9,3
2020-04-02,14,2,0,110,124,11,3
2020-04-03,4,0,1,113,128,11,4
2020-04-04,16,0,0,129,144,11,4
2020-04-05,7,1,0,135,151,12,4
2020-04-06,12,8,0,139,163,20,4
2020-04-07,12,5,0,146,175,25,4
2020-04-08,6,3,1,148,181,28,5
2020-04-09,16,2,1,161,197,30,6
2020-04-10,10,4,0,167,207,34,6
2020-04-11,8,5,0,170,215,39,6
2020-04-12,17,15,0,172,232,54,6
2020-04-13,15,6,2,179,247,60,8
2020-04-14,13,11,2,179,260,71,10
2020-04-15,19,9,2,187,279,80,12
2020-04-16,36,2,1,220,315,82,13
2020-04-17,44,6,0,258,359,88,13
2020-04-18,25,16,1,266,384,104,14
2020-04-19,6,7,2,263,390,111,16
2020-04-20,18,1,0,280,408,112,16
2020-04-21,10,17,1,272,418,129,17
2020-04-22,9,2,0,279,427,131,17
2020-04-23,18,14,0,283,445,145,17
2020-04-24,29,7,1,304,474,152,18
2020-04-25,26,6,0,324,500,158,18
2020-04-26,3,24,1,302,503,182,19
2020-04-27,9,11,1,299,512,193,20
2020-04-28,11,14,0,296,523,207,20
2020-04-29,12,9,1,298,535,216,21
2020-04-30,30,13,1,314,565,229,22
2020-05-01,24,22,0,316,589,251,22
2020-05-02,12,20,3,305,601,271,25
2020-05-03,13,22,0,296,614,293,25
2020-05-04,37,28,2,303,651,321,27
2020-05-05,22,10,2,313,673,331,29
2020-05-06,20,23,0,310,693,354,29
2020-05-07,12,12,1,309,705,366,30
2020-05-08,48,10,0,347,753,376,30
2020-05-09,41,10,0,378,794,386,30
2020-05-10,54,36,1,395,848,422,31
2020-05-11,14,4,0,405,862,426,31
2020-05-12,63,7,0,461,925,433,31
2020-05-13,34,18,2,475,959,451,33
2020-05-14,28,9,2,492,987,460,35
2020-05-15,69,20,1,540,1056,480,36
2020-05-16,36,16,0,560,1092,496,36
2020-05-17,55,13,1,601,1147,509,37
2020-05-18,99,21,0,679,1246,530,37
2020-05-19,149,13,3,812,1395,543,40
2020-05-20,67,13,1,865,1462,556,41
2020-05-21,143,15,0,993,1605,571,41
2020-05-22,138,26,0,1105,1743,597,41
2020-05-23,216,11,1,1309,1959,608,42
2020-05-24,130,46,0,1393,2089,654,42
2020-05-25,93,51,2,1433,2182,705,44
2020-05-26,101,59,0,1475,2283,764,44
2020-05-27,135,17,3,1590,2418,781,47
2020-05-28,115,53,0,1652,2533,834,47
2020-05-29,248,60,1,1839,2781,894,48
2020-05-30,141,103,1,1876,2922,997,49
2020-05-31,299,221,2,1952,3221,1218,51
