Date,Confirmed,Recovered,Deceased,Active,Total Confirmed,Total Recovered,Total Deceased
2020-03-14,3,1,0,2,3,1,0
2020-03-15,1,2,0,1,4,3,0
2020-03-16,0,0,0,1,4,3,0
2020-03-17,0,0,0,1,4,3,0
2020-03-18,3,0,0,4,7,3,0
2020-03-19,2,0,0,6,9,3,0
2020-03-20,8,0,0,14,17,3,0
2020-03-21,7,0,0,21,24,3,0
2020-03-22,4,0,0,25,28,3,0
2020-03-23,4,0,0,29,32,3,0
2020-03-24,0,0,0,29,32,3,0
2020-03-25,6,0,0,35,38,3,0
2020-03-26,2,0,0,37,40,3,0
2020-03-27,10,0,0,47,50,3,0
2020-03-28,4,0,0,51,54,3,0
2020-03-29,5,0,0,56,59,3,0
2020-03-30,20,0,0,76,79,3,0
2020-03-31,14,0,0,90,93,3,0
2020-04-01,27,0,0,117,120,3,0
2020-04-02,13,0,0,130,133,3,0
2020-04-03,46,0,0,176,179,3,0
2020-04-04,27,22,1,180,206,25,1
2020-04-05,60,0,0,240,266,25,1
2020-04-06,35,0,1,274,301,25,2
2020-04-07,42,0,0,316,343,25,2
2020-04-08,40,20,1,335,383,45,3
2020-04-09,80,15,0,400,463,60,3
2020-04-10,98,0,0,498,561,60,3
2020-04-11,139,56,6,575,700,116,9
2020-04-12,104,5,2,672,804,121,11
2020-04-13,93,0,0,765,897,121,11
2020-04-14,108,26,0,847,1005,147,11
2020-04-15,71,0,0,918,1076,147,11
2020-04-16,55,17,0,956,1131,164,11
2020-04-17,98,19,6,1029,1229,183,17
2020-04-18,122,17,4,1130,1351,200,21
2020-04-19,127,5,2,1250,1478,205,23
2020-04-20,98,0,2,1346,1576,205,25
2020-04-21,159,69,1,1435,1735,274,26
2020-04-22,153,70,1,1517,1888,344,27
2020-04-23,76,107,1,1485,1964,451,28
2020-04-24,70,42,4,1509,2034,493,32
2020-04-25,49,20,2,1536,2083,513,34
2020-04-26,102,116,7,1515,2185,629,41
2020-04-27,77,115,9,1468,2262,744,50
2020-04-28,102,26,2,1542,2364,770,52
2020-04-29,76,44,3,1571,2440,814,55
2020-04-30,144,79,3,1633,2584,893,58
2020-05-01,82,223,4,1488,2666,1116,62
2020-05-02,106,126,6,1462,2772,1242,68
2020-05-03,114,114,3,1459,2886,1356,71
2020-05-04,175,82,6,1546,3061,1438,77
2020-05-05,97,87,12,1544,3158,1525,89
2020-05-06,159,214,4,1485,3317,1739,93
2020-05-07,110,150,6,1439,3427,1889,99
2020-05-08,152,122,4,1465,3579,2011,103
2020-05-09,129,151,3,1440,3708,2162,106
2020-05-10,106,79,2,1465,3814,2241,108
2020-05-11,174,83,5,1551,3988,2324,113
2020-05-12,138,130,4,1555,4126,2454,117
2020-05-13,202,119,4,1634,4328,2573,121
2020-05-14,206,65,4,1771,4534,2638,125
2020-05-15,213,91,0,1893,4747,2729,125
2020-05-16,213,215,1,1890,4960,2944,126
2020-05-17,242,111,5,2016,5202,3055,131
2020-05-18,305,163,7,2151,5507,3218,138
2020-05-19,338,119,5,2365,5845,3337,143
2020-05-20,170,67,4,2464,6015,3404,147
2020-05-21,212,81,4,2591,6227,3485,151
2020-05-22,267,195,2,2661,6494,3680,153
2020-05-23,248,106,7,2796,6742,3786,160
2020-05-24,286,62,3,3017,7028,3848,163
2020-05-25,272,208,4,3077,7300,4056,167
2020-05-26,236,220,3,3090,7536,4276,170
2020-05-27,280,286,3,3081,7816,4562,173
2020-05-28,251,253,7,3072,8067,4815,180
2020-05-29,298,429,4,2937,8365,5244,184
2020-05-30,252,495,9,2685,8617,5739,193
2020-05-31,214,293,2,2604,8831,6032,195
