Date,Confirmed,Recovered,Deceased,Active,Total Confirmed,Total Recovered,Total Deceased
2020-03-14,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0,0
2020-03-26,0,0,0,0,0,0,0
2020-03-27,0,0,0,0,0,0,0
2020-03-28,0,0,0,0,0,0,0
2020-03-29,0,0,0,0,0,0,0
2020-03-30,0,0,0,0,0,0,0
2020-03-31,0,0,0,0,0,0,0
2020-04-01,0,0,0,0,0,0,0
2020-04-02,0,0,0,0,0,0,0
2020-04-03,0,0,0,0,0,0,0
2020-04-04,0,0,0,0,0,0,0
2020-04-05,0,0,0,0,0,0,0
2020-04-06,1,0,0,1,1,0,0
2020-04-07,0,0,0,1,1,0,0
2020-04-08,0,0,0,1,1,0,0
2020-04-09,0,0,0,1,1,0,0
2020-04-10,1,0,0,2,2,0,0
2020-04-11,0,0,0,2,2,0,0
2020-04-12,0,0,0,2,2,0,0
2020-04-13,0,0,0,2,2,0,0
2020-04-14,0,0,0,2,2,0,0
2020-04-15,0,1,0,1,2,1,0
2020-04-16,0,0,0,1,2,1,0
2020-04-17,0,0,0,1,2,1,0
2020-04-18,0,0,0,1,2,1,0
2020-04-19,0,0,0,1,2,1,0
2020-04-20,0,0,0,1,2,1,0
2020-04-21,0,0,0,1,2,1,0
2020-04-22,0,0,0,1,2,1,0
2020-04-23,0,1,0,0,2,2,0
2020-04-24,0,0,0,0,2,2,0
2020-04-25,0,0,0,0,2,2,0
2020-04-26,0,0,0,0,2,2,0
2020-04-27,0,0,0,0,2,2,0
2020-04-28,0,0,0,0,2,2,0
2020-04-29,0,0,0,0,2,2,0
2020-04-30,0,0,0,0,2,2,0
2020-05-01,0,0,0,0,2,2,0
2020-05-02,2,0,0,2,4,2,0
2020-05-03,12,0,0,14,16,2,0
2020-05-04,13,0,0,27,29,2,0
2020-05-05,13,0,0,40,42,2,0
2020-05-06,22,0,0,62,64,2,0
2020-05-07,24,0,0,86,88,2,0
2020-05-08,30,0,0,116,118,2,0
2020-05-09,17,0,0,133,135,2,0
2020-05-10,16,0,0,149,151,2,0
2020-05-11,0,0,0,149,151,2,0
2020-05-12,2,0,0,151,153,2,0
2020-05-13,1,0,0,152,154,2,0
2020-05-14,1,27,0,126,155,29,0
2020-05-15,0,13,0,113,155,42,0
2020-05-16,11,22,0,102,166,64,0
2020-05-17,-2,21,0,79,164,85,0
2020-05-18,0,4,0,75,164,89,0
2020-05-19,8,27,0,56,172,116,0
2020-05-20,0,0,0,56,172,116,0
2020-05-21,2,32,0,26,174,148,0
2020-05-22,0,4,0,22,174,152,0
2020-05-23,16,0,0,38,190,152,0
2020-05-24,3,13,0,28,193,165,0
2020-05-25,4,0,0,32,197,165,0
2020-05-26,34,0,0,66,231,165,0
2020-05-27,10,0,0,76,241,165,0
2020-05-28,2,2,0,76,243,167,0
2020-05-29,10,0,0,86,253,167,0
2020-05-30,17,5,0,98,270,172,0
2020-05-31,45,1,0,142,315,173,0
