Date,Confirmed,Recovered,Deceased,Active,Total Confirmed,Total Recovered,Total Deceased
2020-03-14,81,9,2,70,81,9,2
2020-03-15,27,4,0,93,108,13,2
2020-03-16,15,1,0,107,123,14,2
2020-03-17,11,1,1,116,134,15,3
2020-03-18,37,0,0,153,171,15,3
2020-03-19,27,5,1,174,198,20,4
2020-03-20,58,3,0,229,256,23,4
2020-03-21,78,0,0,307,334,23,4
2020-03-22,67,0,3,371,401,23,7
2020-03-23,102,12,2,459,503,35,9
2020-03-24,64,5,1,517,567,40,10
2020-03-25,90,3,1,603,657,43,11
2020-03-26,65,7,5,656,722,50,16
2020-03-27,164,26,3,791,886,76,19
2020-03-28,143,9,5,920,1029,85,24
2020-03-29,110,5,3,1022,1139,90,27
2020-03-30,187,49,13,1147,1326,139,40
2020-03-31,309,15,6,1435,1635,154,46
2020-04-01,424,16,9,1834,2059,170,55
2020-04-02,486,22,14,2284,2545,192,69
2020-04-03,560,38,14,2792,3105,230,83
2020-04-04,579,56,13,3302,3684,286,96
2020-04-05,609,43,22,3846,4293,329,118
2020-04-06,484,65,16,4249,4777,394,134
2020-04-07,572,75,27,4719,5349,469,161
2020-04-08,565,96,20,5168,5914,565,181
2020-04-09,813,70,46,5865,6727,635,227
2020-04-10,871,151,22,6563,7598,786,249
2020-04-11,854,186,40,7191,8452,972,289
2020-04-12,758,114,42,7793,9210,1086,331
2020-04-13,1243,112,27,8897,10453,1198,358
2020-04-14,1031,167,37,9724,11484,1365,395
2020-04-15,886,144,27,10439,12370,1509,422
2020-04-16,1061,258,26,11216,13431,1767,448
2020-04-17,922,273,38,11827,14353,2040,486
2020-04-18,1371,426,35,12737,15724,2466,521
2020-04-19,1580,388,38,13891,17304,2854,559
2020-04-20,1239,419,33,14678,18543,3273,592
2020-04-21,1537,703,53,15459,20080,3976,645
2020-04-22,1292,394,36,16321,21372,4370,681
2020-04-23,1667,642,40,17306,23039,5012,721
2020-04-24,1408,484,59,18171,24447,5496,780
2020-04-25,1835,442,44,19520,26282,5938,824
2020-04-26,1607,585,56,20486,27889,6523,880
2020-04-27,1568,580,58,21416,29457,7103,938
2020-04-28,1902,636,69,22613,31359,7739,1007
2020-04-29,1705,690,71,23557,33064,8429,1078
2020-04-30,1801,630,75,24653,34865,9059,1153
2020-05-01,2396,962,77,26010,37261,10021,1230
2020-05-02,2564,831,92,27651,39825,10852,1322
2020-05-03,2952,911,140,29552,42777,11763,1462
2020-05-04,3656,1082,103,32023,46433,12845,1565
2020-05-05,2971,1295,128,33571,49404,14140,1693
2020-05-06,3602,1161,91,35921,53006,15301,1784
2020-05-07,3344,1475,104,37686,56350,16776,1888
2020-05-08,3339,1111,97,39817,59689,17887,1985
2020-05-09,3175,1414,115,41463,62864,19301,2100
2020-05-10,4311,1669,112,43993,67175,20970,2212
2020-05-11,3592,1579,81,45925,70767,22549,2293
2020-05-12,3562,1905,120,47462,74329,24454,2413
2020-05-13,3726,1963,137,49088,78055,26417,2550
2020-05-14,3991,1594,97,51388,82046,28011,2647
2020-05-15,3808,2234,104,52858,85854,30245,2751
2020-05-16,4794,4012,120,53520,90648,34257,2871
2020-05-17,5049,2538,152,55879,95697,36795,3023
2020-05-18,4628,2482,131,57894,100325,39277,3154
2020-05-19,6154,3032,146,60870,106479,42309,3300
2020-05-20,5720,3113,134,63343,112199,45422,3434
2020-05-21,6023,3131,148,66087,118222,48553,3582
2020-05-22,6536,3280,142,69201,124758,51833,3724
2020-05-23,6663,2576,142,73146,131421,54409,3866
2020-05-24,7111,3285,156,76816,138532,57694,4022
2020-05-25,6414,3012,150,80068,144946,60706,4172
2020-05-26,5907,3585,173,82217,150853,64291,4345
2020-05-27,7246,3434,188,85841,158099,67725,4533
2020-05-28,7254,3171,176,89748,165353,70896,4709
2020-05-29,8138,11735,269,85882,173491,82631,4978
2020-05-30,8364,4303,205,89738,181855,86934,5183
2020-05-31,8788,4921,223,93382,190643,91855,5406
