Date,Confirmed,Recovered,Deceased,Active,Total Confirmed,Total Recovered,Total Deceased
2020-03-14,12,4,0,8,12,4,0
2020-03-15,1,0,0,9,13,4,0
2020-03-16,0,0,0,9,13,4,0
2020-03-17,2,1,0,10,15,5,0
2020-03-18,2,0,0,12,17,5,0
2020-03-19,3,4,0,11,20,9,0
2020-03-20,4,0,0,15,24,9,0
2020-03-21,4,0,0,19,28,9,0
2020-03-22,2,0,0,21,30,9,0
2020-03-23,2,0,0,23,32,9,0
2020-03-24,3,2,0,24,35,11,0
2020-03-25,3,0,0,27,38,11,0
2020-03-26,4,0,0,31,42,11,0
2020-03-27,7,0,0,38,49,11,0
2020-03-28,16,0,0,54,65,11,0
2020-03-29,7,0,0,61,72,11,0
2020-03-30,24,6,0,79,96,17,0
2020-03-31,8,0,0,87,104,17,0
2020-04-01,13,0,2,98,117,17,2
2020-04-02,11,0,0,109,128,17,2
2020-04-03,46,0,0,155,174,17,2
2020-04-04,60,4,0,211,234,21,2
2020-04-05,44,0,1,254,278,21,3
2020-04-06,27,0,0,281,305,21,3
2020-04-07,27,0,0,308,332,21,3
2020-04-08,29,10,1,326,361,31,4
2020-04-09,49,0,0,375,410,31,4
2020-04-10,23,1,0,397,433,32,4
2020-04-11,19,13,1,402,452,45,5
2020-04-12,31,0,0,433,483,45,5
2020-04-13,75,4,0,504,558,49,5
2020-04-14,102,1,3,602,660,50,8
2020-04-15,75,7,3,667,735,57,11
2020-04-16,70,11,2,724,805,68,13
2020-04-17,44,14,1,753,849,82,14
2020-04-18,126,26,0,853,975,108,14
2020-04-19,125,19,3,956,1100,127,17
2020-04-20,84,13,1,1026,1184,140,18
2020-04-21,153,22,3,1154,1337,162,21
2020-04-22,112,11,0,1255,1449,173,21
2020-04-23,61,33,3,1280,1510,206,24
2020-04-24,111,20,1,1370,1621,226,25
2020-04-25,172,35,2,1505,1793,261,27
2020-04-26,80,66,3,1516,1873,327,30
2020-04-27,113,72,1,1556,1986,399,31
2020-04-28,67,63,3,1557,2053,462,34
2020-04-29,81,48,5,1585,2134,510,39
2020-04-30,77,41,1,1620,2211,551,40
2020-05-01,117,103,2,1632,2328,654,42
2020-05-02,159,44,1,1746,2487,698,43
2020-05-03,158,56,0,1848,2645,754,43
2020-05-04,121,48,7,1914,2766,802,50
2020-05-05,114,185,6,1837,2880,987,56
2020-05-06,118,143,4,1808,2998,1130,60
2020-05-07,73,120,2,1759,3071,1250,62
2020-05-08,143,137,4,1761,3214,1387,66
2020-05-09,159,112,8,1800,3373,1499,74
2020-05-10,94,154,5,1735,3467,1653,79
2020-05-11,106,105,1,1735,3573,1758,80
2020-05-12,91,115,2,1709,3664,1873,82
2020-05-13,94,92,4,1707,3758,1965,86
2020-05-14,144,107,2,1742,3902,2072,88
2020-05-15,155,93,7,1797,4057,2165,95
2020-05-16,201,276,9,1713,4258,2441,104
2020-05-17,206,195,8,1716,4464,2636,112
2020-05-18,141,147,6,1704,4605,2783,118
2020-05-19,321,135,5,1885,4926,2918,123
2020-05-20,249,148,4,1982,5175,3066,127
2020-05-21,340,138,11,2173,5515,3204,138
2020-05-22,220,120,14,2259,5735,3324,152
2020-05-23,282,82,3,2456,6017,3406,155
2020-05-24,251,132,6,2569,6268,3538,161
2020-05-25,229,122,8,2668,6497,3660,169
2020-05-26,227,164,8,2723,6724,3824,177
2020-05-27,267,167,5,2818,6991,3991,182
2020-05-28,179,224,15,2758,7170,4215,197
2020-05-29,275,195,4,2834,7445,4410,201
2020-05-30,256,241,12,2837,7701,4651,213
2020-05-31,374,192,4,3015,8075,4843,217
