Date,Confirmed,Recovered,Deceased,Active,Total Confirmed,Total Recovered,Total Deceased
2020-03-14,14,0,0,14,14,0,0
2020-03-15,0,0,0,14,14,0,0
2020-03-16,0,0,0,14,14,0,0
2020-03-17,1,0,0,15,15,0,0
2020-03-18,1,0,0,16,16,0,0
2020-03-19,1,0,0,17,17,0,0
2020-03-20,2,0,0,19,19,0,0
2020-03-21,2,0,0,21,21,0,0
2020-03-22,0,0,0,21,21,0,0
2020-03-23,7,11,0,17,28,11,0
2020-03-24,2,0,0,19,30,11,0
2020-03-25,1,0,0,20,31,11,0
2020-03-26,1,0,0,21,32,11,0
2020-03-27,1,0,0,22,33,11,0
2020-03-28,2,0,0,24,35,11,0
2020-03-29,0,0,0,24,35,11,0
2020-03-30,1,6,0,19,36,17,0
2020-03-31,7,0,0,26,43,17,0
2020-04-01,0,10,0,16,43,27,0
2020-04-02,6,0,0,22,49,27,0
2020-04-03,9,0,0,31,58,27,0
2020-04-04,26,1,0,56,84,28,0
2020-04-05,6,0,0,62,90,28,0
2020-04-06,20,0,2,80,110,28,2
2020-04-07,33,2,0,111,143,30,2
2020-04-08,24,1,0,134,167,31,2
2020-04-09,3,0,0,137,170,31,2
2020-04-10,6,4,0,139,176,35,2
2020-04-11,3,0,0,142,179,35,2
2020-04-12,16,8,1,149,195,43,3
2020-04-13,1,7,0,143,196,50,3
2020-04-14,2,4,0,141,198,54,3
2020-04-15,6,2,0,145,204,56,3
2020-04-16,11,8,0,148,215,64,3
2020-04-17,8,21,0,135,223,85,3
2020-04-18,9,14,0,130,232,99,3
2020-04-19,18,4,0,144,250,103,3
2020-04-20,1,37,0,108,251,140,3
2020-04-21,4,6,0,106,255,146,3
2020-04-22,9,11,0,104,264,157,3
2020-04-23,6,12,0,98,270,169,3
2020-04-24,5,16,0,87,275,185,3
2020-04-25,12,5,0,94,287,190,3
2020-04-26,9,8,0,95,296,198,3
2020-04-27,5,14,0,86,301,212,3
2020-04-28,7,11,0,82,308,223,3
2020-04-29,3,1,0,84,311,224,3
2020-04-30,28,10,1,101,339,234,4
2020-05-01,18,6,0,113,357,240,4
2020-05-02,19,1,1,130,376,241,5
2020-05-03,66,3,0,193,442,244,5
2020-05-04,75,9,1,258,517,253,6
2020-05-05,31,2,0,287,548,255,6
2020-05-06,46,4,1,328,594,259,7
2020-05-07,31,0,0,359,625,259,7
2020-05-08,22,19,1,361,647,278,8
2020-05-09,28,11,1,377,675,289,9
2020-05-10,28,10,1,394,703,299,10
2020-05-11,27,37,1,383,730,336,11
2020-05-12,50,5,0,428,780,341,11
2020-05-13,13,76,0,365,793,417,11
2020-05-14,25,21,0,369,818,438,11
2020-05-15,36,25,2,378,854,463,13
2020-05-16,33,50,0,361,887,513,13
2020-05-17,23,48,1,335,910,561,14
2020-05-18,18,36,0,317,928,597,14
2020-05-19,36,29,0,324,964,626,14
2020-05-20,29,21,0,332,993,647,14
2020-05-21,37,33,0,336,1030,680,14
2020-05-22,37,25,2,346,1067,705,16
2020-05-23,64,44,0,366,1131,749,16
2020-05-24,53,15,0,404,1184,764,16
2020-05-25,29,37,0,396,1213,801,16
2020-05-26,92,22,0,466,1305,823,16
2020-05-27,76,14,2,526,1381,837,18
2020-05-28,123,43,1,605,1504,880,19
2020-05-29,217,59,0,763,1721,939,19
2020-05-30,202,31,1,933,1923,970,20
2020-05-31,168,77,0,1024,2091,1047,20
