Date,Confirmed,Recovered,Deceased,Active,Total Confirmed,Total Recovered,Total Deceased
2020-03-14,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0
2020-03-17,1,0,0,1,1,0,0
2020-03-18,0,0,0,1,1,0,0
2020-03-19,0,0,0,1,1,0,0
2020-03-20,1,0,0,2,2,0,0
2020-03-21,2,0,0,4,4,0,0
2020-03-22,3,0,0,7,7,0,0
2020-03-23,0,0,1,6,7,0,1
2020-03-24,2,0,0,8,9,0,1
2020-03-25,0,0,0,8,9,0,1
2020-03-26,1,0,0,9,10,0,1
2020-03-27,5,0,0,14,15,0,1
2020-03-28,3,0,0,17,18,0,1
2020-03-29,3,0,0,20,21,0,1
2020-03-30,1,0,1,20,22,0,2
2020-03-31,15,3,1,31,37,3,3
2020-04-01,0,0,0,31,37,3,3
2020-04-02,16,0,0,47,53,3,3
2020-04-03,0,0,0,47,53,3,3
2020-04-04,0,0,0,47,53,3,3
2020-04-05,27,7,0,67,80,10,3
2020-04-06,0,0,0,67,80,10,3
2020-04-07,11,3,0,75,91,13,3
2020-04-08,8,0,2,81,99,13,5
2020-04-09,4,3,0,82,103,16,5
2020-04-10,13,0,0,95,116,16,5
2020-04-11,10,0,0,105,126,16,5
2020-04-12,8,3,2,108,134,19,7
2020-04-13,18,10,0,116,152,29,7
2020-04-14,38,7,0,147,190,36,7
2020-04-15,23,1,0,169,213,37,7
2020-04-16,18,5,3,179,231,42,10
2020-04-17,24,9,0,194,255,51,10
2020-04-18,32,4,2,220,287,55,12
2020-04-19,23,7,0,236,310,62,12
2020-04-20,29,4,0,261,339,66,12
2020-04-21,53,7,3,304,392,73,15
2020-04-22,31,0,0,335,423,73,15
2020-04-23,33,6,0,362,456,79,15
2020-04-24,58,24,3,393,514,103,18
2020-04-25,57,0,0,450,571,103,18
2020-04-26,40,2,2,486,611,105,20
2020-04-27,38,0,0,524,649,105,20
2020-04-28,48,4,2,566,697,109,22
2020-04-29,28,10,0,584,725,119,22
2020-04-30,33,5,11,601,758,124,33
2020-05-01,37,15,8,615,795,139,41
2020-05-02,127,12,7,723,922,151,48
2020-05-03,276,-19,74,944,1198,132,122
2020-05-04,61,86,11,908,1259,218,133
2020-05-05,85,46,7,940,1344,264,140
2020-05-06,112,1,4,1047,1456,265,144
2020-05-07,92,31,7,1101,1548,296,151
2020-05-08,130,27,9,1195,1678,323,160
2020-05-09,108,49,11,1243,1786,372,171
2020-05-10,153,45,14,1337,1939,417,185
2020-05-11,124,82,5,1374,2063,499,190
2020-05-12,110,113,8,1363,2173,612,198
2020-05-13,117,90,9,1381,2290,702,207
2020-05-14,87,66,8,1394,2377,768,215
2020-05-15,84,61,10,1407,2461,829,225
2020-05-16,115,63,7,1452,2576,892,232
2020-05-17,101,67,6,1480,2677,959,238
2020-05-18,147,47,6,1574,2824,1006,244
2020-05-19,137,68,6,1637,2961,1074,250
2020-05-20,142,62,3,1714,3103,1136,253
2020-05-21,94,57,6,1745,3197,1193,259
2020-05-22,135,28,6,1846,3332,1221,265
2020-05-23,127,60,4,1909,3459,1281,269
2020-05-24,208,58,3,2056,3667,1339,272
2020-05-25,149,75,6,2124,3816,1414,278
2020-05-26,193,72,5,2240,4009,1486,283
2020-05-27,183,92,6,2325,4192,1578,289
2020-05-28,344,90,6,2573,4536,1668,295
2020-05-29,277,107,7,2736,4813,1775,302
2020-05-30,317,195,7,2851,5130,1970,309
2020-05-31,371,187,8,3027,5501,2157,317
