Date,Exponent
2020-03-29,1
2020-03-30,1
2020-03-31,1
2020-04-01,1
2020-04-02,1
2020-04-03,1
2020-04-04,1
2020-04-05,1
2020-04-06,1
2020-04-07,1
2020-04-08,1
2020-04-09,1
2020-04-10,1
2020-04-11,1
2020-04-12,1.05
2020-04-13,1.1
2020-04-14,1.1
2020-04-15,1.15
2020-04-16,1.2
2020-04-17,1.25
2020-04-18,1.3
2020-04-19,1.35
2020-04-20,1.4
2020-04-21,1.45
2020-04-22,1.5
2020-04-23,1.55
2020-04-24,1.6
2020-04-25,1.65
2020-04-26,1.7000000000000002
2020-04-27,1.75
2020-04-28,1.8
2020-04-29,1.85
2020-04-30,1.9
2020-05-01,1.9500000000000002
2020-05-02,2
2020-05-03,2.1500000000000004
2020-05-04,2.25
2020-05-05,2.4000000000000004
2020-05-06,2.5
2020-05-07,2.6500000000000004
2020-05-08,2.75
2020-05-09,2.9000000000000004
2020-05-10,3
2020-05-11,3.15
2020-05-12,3.25
2020-05-13,3.35
2020-05-14,3.45
2020-05-15,3.5500000000000003
2020-05-16,3.6
2020-05-17,3.7
2020-05-18,3.75
2020-05-19,3.8000000000000003
2020-05-20,3.85
2020-05-21,3.9000000000000004
2020-05-22,3.95
2020-05-23,4
2020-05-24,4
2020-05-25,4
2020-05-26,4
2020-05-27,3.95
2020-05-28,3.9000000000000004
