Date,Confirmed,Recovered,Deceased,Active,Total Confirmed,Total Recovered,Total Deceased
2020-03-14,1,0,0,1,1,0,0
2020-03-15,0,0,0,1,1,0,0
2020-03-16,0,0,0,1,1,0,0
2020-03-17,0,0,0,1,1,0,0
2020-03-18,0,0,0,1,1,0,0
2020-03-19,2,0,0,3,3,0,0
2020-03-20,0,0,0,3,3,0,0
2020-03-21,2,0,0,5,5,0,0
2020-03-22,1,0,0,6,6,0,0
2020-03-23,1,0,0,7,7,0,0
2020-03-24,1,0,0,8,8,0,0
2020-03-25,2,1,0,9,10,1,0
2020-03-26,1,0,0,10,11,1,0
2020-03-27,2,0,0,12,13,1,0
2020-03-28,6,0,0,18,19,1,0
2020-03-29,2,0,0,20,21,1,0
2020-03-30,2,0,0,22,23,1,0
2020-03-31,21,0,0,43,44,1,0
2020-04-01,67,1,0,109,111,2,0
2020-04-02,38,0,0,147,149,2,0
2020-04-03,15,0,1,161,164,2,1
2020-04-04,28,0,0,189,192,2,1
2020-04-05,64,3,0,250,256,5,1
2020-04-06,47,0,2,295,303,5,3
2020-04-07,11,0,1,305,314,5,4
2020-04-08,34,1,0,338,348,6,4
2020-04-09,15,4,2,347,363,10,6
2020-04-10,18,0,0,365,381,10,6
2020-04-11,24,0,0,389,405,10,6
2020-04-12,15,2,1,401,420,12,7
2020-04-13,19,0,0,420,439,12,7
2020-04-14,45,4,4,457,484,16,11
2020-04-15,41,4,3,491,525,20,14
2020-04-16,9,0,0,500,534,20,14
2020-04-17,38,15,0,523,572,35,14
2020-04-18,31,7,2,545,603,42,16
2020-04-19,44,23,1,565,647,65,17
2020-04-20,75,27,3,610,722,92,20
2020-04-21,35,4,2,639,757,96,22
2020-04-22,56,24,2,669,813,120,24
2020-04-23,80,21,3,725,893,141,27
2020-04-24,62,4,2,781,955,145,29
2020-04-25,61,26,2,814,1016,171,31
2020-04-26,81,60,0,835,1097,231,31
2020-04-27,80,4,0,911,1177,235,31
2020-04-28,82,23,0,970,1259,258,31
2020-04-29,73,29,0,1014,1332,287,31
2020-04-30,71,34,0,1051,1403,321,31
2020-05-01,60,82,2,1027,1463,403,33
2020-05-02,62,38,0,1051,1525,441,33
2020-05-03,58,47,0,1062,1583,488,33
2020-05-04,67,36,0,1093,1650,524,33
2020-05-05,67,65,1,1094,1717,589,34
2020-05-06,60,140,2,1012,1777,729,36
2020-05-07,56,51,2,1015,1833,780,38
2020-05-08,54,62,3,1004,1887,842,41
2020-05-09,43,45,3,999,1930,887,44
2020-05-10,50,38,1,1010,1980,925,45
2020-05-11,38,73,0,975,2018,998,45
2020-05-12,71,58,1,987,2089,1056,46
2020-05-13,48,86,1,948,2137,1142,47
2020-05-14,68,50,1,965,2205,1192,48
2020-05-15,102,60,0,1007,2307,1252,48
2020-05-16,48,101,1,953,2355,1353,49
2020-05-17,25,103,1,874,2380,1456,50
2020-05-18,52,96,0,830,2432,1552,50
2020-05-19,57,69,2,816,2489,1621,52
2020-05-20,71,43,1,843,2560,1664,53
2020-05-21,45,41,1,846,2605,1705,54
2020-05-22,62,26,1,881,2667,1731,55
2020-05-23,47,48,1,879,2714,1779,56
2020-05-24,66,62,0,883,2780,1841,56
2020-05-25,106,51,0,938,2886,1892,56
2020-05-26,97,125,1,909,2983,2017,57
2020-05-27,134,48,1,994,3117,2065,58
2020-05-28,128,68,1,1053,3245,2133,59
2020-05-29,85,101,1,1036,3330,2234,60
2020-05-30,131,55,0,1112,3461,2289,60
2020-05-31,110,51,2,1169,3571,2340,62
2020-06-01,105,34,2,1238,3676,2374,64
2020-06-02,115,40,0,1313,3791,2414,64
2020-06-03,180,50,4,1439,3971,2464,68
2020-06-04,141,65,3,1512,4112,2529,71
2020-06-05,138,36,2,1612,4250,2565,73
2020-06-06,210,75,0,1747,4460,2640,73
