Date,Confirmed,Recovered,Deceased,Active,Total Confirmed,Total Recovered,Total Deceased
2020-03-14,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0,0
2020-03-26,0,0,0,0,0,0,0
2020-03-27,0,0,0,0,0,0,0
2020-03-28,0,0,0,0,0,0,0
2020-03-29,0,0,0,0,0,0,0
2020-03-30,0,0,0,0,0,0,0
2020-03-31,1,0,0,1,1,0,0
2020-04-01,15,0,0,16,16,0,0
2020-04-02,0,0,0,16,16,0,0
2020-04-03,7,0,0,23,23,0,0
2020-04-04,3,0,0,26,26,0,0
2020-04-05,0,0,0,26,26,0,0
2020-04-06,0,0,0,26,26,0,0
2020-04-07,2,0,0,28,28,0,0
2020-04-08,0,0,0,28,28,0,0
2020-04-09,1,0,0,29,29,0,0
2020-04-10,0,0,1,28,29,0,1
2020-04-11,0,0,0,28,29,0,1
2020-04-12,1,0,0,29,30,0,1
2020-04-13,2,0,0,31,32,0,1
2020-04-14,1,0,0,32,33,0,1
2020-04-15,0,2,0,30,33,2,1
2020-04-16,2,3,0,29,35,5,1
2020-04-17,0,4,0,25,35,9,1
2020-04-18,0,3,0,22,35,12,1
2020-04-19,0,5,0,17,35,17,1
2020-04-20,0,2,0,15,35,19,1
2020-04-21,0,0,0,15,35,19,1
2020-04-22,0,0,0,15,35,19,1
2020-04-23,1,0,0,16,36,19,1
2020-04-24,0,0,0,16,36,19,1
2020-04-25,0,0,0,16,36,19,1
2020-04-26,0,8,0,8,36,27,1
2020-04-27,0,0,0,8,36,27,1
2020-04-28,2,0,0,10,38,27,1
2020-04-29,0,2,0,8,38,29,1
2020-04-30,5,0,0,13,43,29,1
2020-05-01,0,4,0,9,43,33,1
2020-05-02,0,0,0,9,43,33,1
2020-05-03,0,0,0,9,43,33,1
2020-05-04,0,0,0,9,43,33,1
2020-05-05,2,0,0,11,45,33,1
2020-05-06,1,2,0,10,46,35,1
2020-05-07,8,0,0,18,54,35,1
2020-05-08,6,0,1,23,60,35,2
2020-05-09,2,0,-1,26,62,35,1
2020-05-10,1,0,0,27,63,35,1
2020-05-11,2,5,0,24,65,40,1
2020-05-12,0,0,0,24,65,40,1
2020-05-13,15,0,0,39,80,40,1
2020-05-14,7,0,0,46,87,40,1
2020-05-15,3,1,0,48,90,41,1
2020-05-16,3,0,0,51,93,41,1
2020-05-17,8,1,0,58,101,42,1
2020-05-18,15,0,2,71,116,42,3
2020-05-19,42,0,0,113,158,42,3
2020-05-20,31,7,0,137,189,49,3
2020-05-21,22,6,0,153,211,55,3
2020-05-22,15,0,0,168,226,55,3
2020-05-23,121,2,0,287,347,57,3
2020-05-24,46,1,0,332,393,58,3
2020-05-25,156,5,0,483,549,63,3
2020-05-26,134,0,0,617,683,63,3
2020-05-27,101,25,0,693,784,88,3
2020-05-28,97,16,0,774,881,104,3
2020-05-29,177,22,0,929,1058,126,3
2020-05-30,159,38,0,1050,1217,164,3
2020-05-31,123,22,0,1151,1340,186,3
2020-06-01,146,99,0,1198,1486,285,3
2020-06-02,74,53,0,1219,1560,338,3
2020-06-03,271,76,0,1414,1831,414,3
2020-06-04,285,46,0,1653,2116,460,3
2020-06-05,128,50,0,1731,2244,510,3
2020-06-06,230,79,0,1882,2474,589,3
