Date,Confirmed,Recovered,Deceased,Active,Total Confirmed,Total Recovered,Total Deceased
2020-03-14,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0,0
2020-03-19,1,0,0,1,1,0,0
2020-03-20,4,0,0,5,5,0,0
2020-03-21,0,0,0,5,5,0,0
2020-03-22,1,0,0,6,6,0,0
2020-03-23,1,0,0,7,7,0,0
2020-03-24,0,0,0,7,7,0,0
2020-03-25,0,0,0,7,7,0,0
2020-03-26,0,0,0,7,7,0,0
2020-03-27,1,0,0,8,8,0,0
2020-03-28,0,0,0,8,8,0,0
2020-03-29,0,0,0,8,8,0,0
2020-03-30,5,0,0,13,13,0,0
2020-03-31,2,0,0,15,15,0,0
2020-04-01,2,0,0,17,17,0,0
2020-04-02,1,0,0,18,18,0,0
2020-04-03,0,0,0,18,18,0,0
2020-04-04,0,3,0,15,18,3,0
2020-04-05,0,2,0,13,18,5,0
2020-04-06,0,0,0,13,18,5,0
2020-04-07,0,2,0,11,18,7,0
2020-04-08,0,0,0,11,18,7,0
2020-04-09,0,0,0,11,18,7,0
2020-04-10,1,0,0,12,19,7,0
2020-04-11,0,0,0,12,19,7,0
2020-04-12,2,0,0,14,21,7,0
2020-04-13,0,0,0,14,21,7,0
2020-04-14,0,0,0,14,21,7,0
2020-04-15,0,2,0,12,21,9,0
2020-04-16,0,0,0,12,21,9,0
2020-04-17,0,0,0,12,21,9,0
2020-04-18,2,0,0,14,23,9,0
2020-04-19,3,4,0,13,26,13,0
2020-04-20,0,1,0,12,26,14,0
2020-04-21,1,0,0,13,27,14,0
2020-04-22,0,0,0,13,27,14,0
2020-04-23,0,0,0,13,27,14,0
2020-04-24,0,1,0,12,27,15,0
2020-04-25,1,0,0,13,28,15,0
2020-04-26,8,2,0,19,36,17,0
2020-04-27,9,0,0,28,45,17,0
2020-04-28,11,0,0,39,56,17,0
2020-04-29,12,0,0,51,68,17,0
2020-04-30,6,1,0,56,74,18,0
2020-05-01,14,0,0,70,88,18,0
2020-05-02,6,1,0,75,94,19,0
2020-05-03,3,0,1,77,97,19,1
2020-05-04,5,2,0,80,102,21,1
2020-05-05,17,0,0,97,119,21,1
2020-05-06,5,0,0,102,124,21,1
2020-05-07,11,0,0,113,135,21,1
2020-05-08,11,0,1,123,146,21,2
2020-05-09,23,3,0,143,169,24,2
2020-05-10,4,0,1,146,173,24,3
2020-05-11,8,4,0,150,181,28,3
2020-05-12,6,2,0,154,187,30,3
2020-05-13,4,0,0,158,191,30,3
2020-05-14,0,7,0,151,191,37,3
2020-05-15,0,3,0,148,191,40,3
2020-05-16,0,11,0,137,191,51,3
2020-05-17,0,0,0,137,191,51,3
2020-05-18,5,3,0,139,196,54,3
2020-05-19,3,3,0,139,199,57,3
2020-05-20,3,79,0,63,202,136,3
2020-05-21,16,42,0,37,218,178,3
2020-05-22,1,0,0,38,219,178,3
2020-05-23,6,1,0,43,225,179,3
2020-05-24,37,0,1,79,262,179,4
2020-05-25,4,8,0,75,266,187,4
2020-05-26,12,0,0,87,278,187,4
2020-05-27,1,0,0,88,279,187,4
2020-05-28,10,2,0,96,289,189,4
2020-05-29,0,0,0,96,289,189,4
2020-05-30,0,10,0,86,289,199,4
2020-05-31,4,0,0,90,293,199,4
2020-06-01,4,15,0,79,297,214,4
2020-06-02,4,0,1,82,301,214,5
2020-06-03,0,0,0,82,301,214,5
2020-06-04,1,8,0,75,302,222,5
2020-06-05,7,51,0,31,309,273,5
2020-06-06,3,0,0,34,312,273,5
