Date,Confirmed,Recovered,Deceased,Active,Total Confirmed,Total Recovered,Total Deceased
2020-03-14,7,1,1,5,7,1,1
2020-03-15,0,1,0,4,7,2,1
2020-03-16,0,0,0,4,7,2,1
2020-03-17,1,0,0,5,8,2,1
2020-03-18,2,0,0,7,10,2,1
2020-03-19,4,1,0,10,14,3,1
2020-03-20,6,2,0,14,20,5,1
2020-03-21,7,0,0,21,27,5,1
2020-03-22,0,0,0,21,27,5,1
2020-03-23,3,0,0,24,30,5,1
2020-03-24,0,1,0,23,30,6,1
2020-03-25,5,0,0,28,35,6,1
2020-03-26,1,0,0,29,36,6,1
2020-03-27,4,0,0,33,40,6,1
2020-03-28,9,0,0,42,49,6,1
2020-03-29,23,0,1,64,72,6,2
2020-03-30,25,0,0,89,97,6,2
2020-03-31,23,0,0,112,120,6,2
2020-04-01,32,0,0,144,152,6,2
2020-04-02,141,2,2,281,293,8,4
2020-04-03,93,0,2,372,386,8,6
2020-04-04,59,8,0,423,445,16,6
2020-04-05,58,0,1,480,503,16,7
2020-04-06,22,0,0,502,525,16,7
2020-04-07,51,4,2,547,576,20,9
2020-04-08,93,1,0,639,669,21,9
2020-04-09,51,4,3,683,720,25,12
2020-04-10,183,2,2,862,903,27,14
2020-04-11,166,0,5,1023,1069,27,19
2020-04-12,85,1,5,1102,1154,28,24
2020-04-13,356,3,4,1451,1510,31,28
2020-04-14,51,0,2,1500,1561,31,30
2020-04-15,17,10,2,1505,1578,41,32
2020-04-16,62,11,6,1550,1640,52,38
2020-04-17,67,20,4,1593,1707,72,42
2020-04-18,186,135,1,1643,1893,207,43
2020-04-19,110,83,2,1668,2003,290,45
2020-04-20,78,141,2,1603,2081,431,47
2020-04-21,75,180,0,1498,2156,611,47
2020-04-22,92,113,1,1476,2248,724,48
2020-04-23,128,84,2,1518,2376,808,50
2020-04-24,138,49,3,1604,2514,857,53
2020-04-25,111,12,1,1702,2625,869,54
2020-04-26,293,8,0,1987,2918,877,54
2020-04-27,190,0,0,2177,3108,877,54
2020-04-28,206,201,0,2182,3314,1078,54
2020-04-29,125,14,2,2291,3439,1092,56
2020-04-30,76,2,3,2362,3515,1094,59
2020-05-01,223,73,2,2510,3738,1167,61
2020-05-02,384,89,3,2802,4122,1256,64
2020-05-03,427,106,0,3123,4549,1362,64
2020-05-04,349,69,0,3403,4898,1431,64
2020-05-05,206,37,0,3572,5104,1468,64
2020-05-06,428,74,1,3925,5532,1542,65
2020-05-07,448,389,1,3983,5980,1931,66
2020-05-08,338,89,2,4230,6318,2020,68
2020-05-09,224,0,0,4454,6542,2020,68
2020-05-10,381,49,5,4781,6923,2069,73
2020-05-11,310,60,0,5031,7233,2129,73
2020-05-12,406,383,13,5041,7639,2512,86
2020-05-13,359,346,20,5034,7998,2858,106
2020-05-14,472,187,9,5310,8470,3045,115
2020-05-15,425,473,8,5254,8895,3518,123
2020-05-16,438,408,6,5278,9333,3926,129
2020-05-17,422,276,19,5405,9755,4202,148
2020-05-18,299,283,12,5409,10054,4485,160
2020-05-19,500,265,6,5638,10554,4750,166
2020-05-20,534,442,10,5720,11088,5192,176
2020-05-21,571,375,18,5898,11659,5567,194
2020-05-22,660,330,14,6214,12319,5897,208
2020-05-23,591,370,23,6412,12910,6267,231
2020-05-24,508,273,30,6617,13418,6540,261
2020-05-25,635,231,15,7006,14053,6771,276
2020-05-26,412,183,12,7223,14465,6954,288
2020-05-27,792,310,15,7690,15257,7264,303
2020-05-28,1024,231,13,8470,16281,7495,316
2020-05-29,1105,351,82,9142,17386,7846,398
2020-05-30,1163,229,18,10058,18549,8075,416
2020-05-31,1295,403,57,10893,19844,8478,473
2020-06-01,990,268,50,11565,20834,8746,523
2020-06-02,1298,497,33,12333,22132,9243,556
2020-06-03,1513,299,59,13488,23645,9542,615
2020-06-04,1359,356,44,14447,25004,9898,659
2020-06-05,1330,417,49,15311,26334,10315,708
2020-06-06,1320,349,53,16229,27654,10664,761
