Date,Confirmed,Recovered,Deceased,Active,Total Confirmed,Total Recovered,Total Deceased
2020-03-14,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0,0
2020-03-19,2,0,0,2,2,0,0
2020-03-20,5,0,0,7,7,0,0
2020-03-21,7,0,0,14,14,0,0
2020-03-22,4,0,1,17,18,0,1
2020-03-23,12,0,0,29,30,0,1
2020-03-24,4,0,0,33,34,0,1
2020-03-25,4,0,0,37,38,0,1
2020-03-26,5,0,2,40,43,0,3
2020-03-27,4,0,0,44,47,0,3
2020-03-28,8,0,1,51,55,0,4
2020-03-29,8,1,1,57,63,1,5
2020-03-30,7,2,1,61,70,3,6
2020-03-31,4,2,0,63,74,5,6
2020-04-01,13,0,0,76,87,5,6
2020-04-02,1,5,1,71,88,10,7
2020-04-03,7,0,2,76,95,10,9
2020-04-04,13,3,1,85,108,13,10
2020-04-05,20,8,1,96,128,21,11
2020-04-06,18,1,1,112,146,22,12
2020-04-07,29,3,2,136,175,25,14
2020-04-08,11,0,2,145,186,25,16
2020-04-09,76,1,2,218,262,26,18
2020-04-10,116,7,1,326,378,33,19
2020-04-11,90,11,3,402,468,44,22
2020-04-12,48,0,2,448,516,44,24
2020-04-13,56,10,2,492,572,54,26
2020-04-14,78,5,2,563,650,59,28
2020-04-15,116,5,5,669,766,64,33
2020-04-16,163,9,3,820,929,73,36
2020-04-17,170,13,5,972,1099,86,41
2020-04-18,277,7,12,1230,1376,93,53
2020-04-19,367,12,10,1575,1743,105,63
2020-04-20,196,26,8,1737,1939,131,71
2020-04-21,239,8,19,1949,2178,139,90
2020-04-22,229,40,13,2125,2407,179,103
2020-04-23,217,79,9,2254,2624,258,112
2020-04-24,191,7,15,2423,2815,265,127
2020-04-25,256,17,6,2656,3071,282,133
2020-04-26,230,31,18,2837,3301,313,151
2020-04-27,247,81,11,2992,3548,394,162
2020-04-28,226,40,19,3159,3774,434,181
2020-04-29,308,93,16,3358,4082,527,197
2020-04-30,313,86,17,3568,4395,613,214
2020-05-01,326,123,22,3749,4721,736,236
2020-05-02,333,160,26,3896,5054,896,262
2020-05-03,374,146,28,4096,5428,1042,290
2020-05-04,376,153,29,4290,5804,1195,319
2020-05-05,441,186,49,4496,6245,1381,368
2020-05-06,380,119,28,4729,6625,1500,396
2020-05-07,388,209,29,4879,7013,1709,425
2020-05-08,390,163,24,5082,7403,1872,449
2020-05-09,394,219,23,5234,7797,2091,472
2020-05-10,398,454,21,5157,8195,2545,493
2020-05-11,347,235,20,5249,8542,2780,513
2020-05-12,362,466,24,5121,8904,3246,537
2020-05-13,364,316,29,5140,9268,3562,566
2020-05-14,324,191,20,5253,9592,3753,586
2020-05-15,340,282,20,5291,9932,4035,606
2020-05-16,1057,273,19,6056,10989,4308,625
2020-05-17,391,191,34,6222,11380,4499,659
2020-05-18,366,305,35,6248,11746,4804,694
2020-05-19,395,239,25,6379,12141,5043,719
2020-05-20,398,176,30,6571,12539,5219,749
2020-05-21,371,269,24,6649,12910,5488,773
2020-05-22,363,392,29,6591,13273,5880,802
2020-05-23,396,289,27,6671,13669,6169,829
2020-05-24,394,243,29,6793,14063,6412,858
2020-05-25,405,224,30,6944,14468,6636,888
2020-05-26,361,501,27,6777,14829,7137,915
2020-05-27,376,410,23,6720,15205,7547,938
2020-05-28,367,454,22,6611,15572,8001,960
2020-05-29,372,608,20,6355,15944,8609,980
2020-05-30,412,621,27,6119,16356,9230,1007
2020-05-31,438,689,31,5837,16794,9919,1038
2020-06-01,423,861,25,5374,17217,10780,1063
2020-06-02,415,1114,29,4646,17632,11894,1092
2020-06-03,485,318,30,4783,18117,12212,1122
2020-06-04,492,455,33,4787,18609,12667,1155
2020-06-05,510,344,35,4918,19119,13011,1190
2020-06-06,498,313,29,5074,19617,13324,1219
