Date,Confirmed,Recovered,Deceased,Active,Total Confirmed,Total Recovered,Total Deceased
2020-03-14,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0
2020-03-20,2,0,0,2,2,0,0
2020-03-21,0,0,0,2,2,0,0
2020-03-22,0,0,0,2,2,0,0
2020-03-23,1,0,1,2,3,0,1
2020-03-24,0,0,0,2,3,0,1
2020-03-25,0,0,0,2,3,0,1
2020-03-26,0,0,0,2,3,0,1
2020-03-27,0,1,0,1,3,1,1
2020-03-28,0,1,0,0,3,2,1
2020-03-29,0,0,0,0,3,2,1
2020-03-30,0,0,0,0,3,2,1
2020-03-31,0,0,0,0,3,2,1
2020-04-01,0,0,0,0,3,2,1
2020-04-02,3,0,0,3,6,2,1
2020-04-03,0,0,1,2,6,2,2
2020-04-04,7,0,0,9,13,2,2
2020-04-05,1,0,0,10,14,2,2
2020-04-06,4,0,0,14,18,2,2
2020-04-07,9,1,0,22,27,3,2
2020-04-08,0,0,0,22,27,3,2
2020-04-09,1,0,0,23,28,3,2
2020-04-10,0,0,0,23,28,3,2
2020-04-11,4,6,0,21,32,9,2
2020-04-12,0,4,0,17,32,13,2
2020-04-13,0,0,0,17,32,13,2
2020-04-14,1,1,0,17,33,14,2
2020-04-15,2,0,0,19,35,14,2
2020-04-16,0,3,0,16,35,17,2
2020-04-17,3,0,0,19,38,17,2
2020-04-18,1,0,0,20,39,17,2
2020-04-19,0,0,0,20,39,17,2
2020-04-20,0,0,0,20,39,17,2
2020-04-21,0,0,0,20,39,17,2
2020-04-22,0,0,0,20,39,17,2
2020-04-23,1,2,0,19,40,19,2
2020-04-24,0,0,0,19,40,19,2
2020-04-25,0,4,0,15,40,23,2
2020-04-26,0,0,0,15,40,23,2
2020-04-27,0,3,0,12,40,26,2
2020-04-28,0,0,0,12,40,26,2
2020-04-29,0,0,0,12,40,26,2
2020-04-30,0,3,0,9,40,29,2
2020-05-01,0,2,0,7,40,31,2
2020-05-02,0,3,0,4,40,34,2
2020-05-03,0,1,0,3,40,35,2
2020-05-04,1,0,0,4,41,35,2
2020-05-05,1,0,1,4,42,35,3
2020-05-06,1,0,0,5,43,35,3
2020-05-07,3,0,0,8,46,35,3
2020-05-08,4,0,0,12,50,35,3
2020-05-09,2,1,0,13,52,36,3
2020-05-10,6,0,0,19,58,36,3
2020-05-11,1,0,0,20,59,36,3
2020-05-12,8,0,0,28,67,36,3
2020-05-13,1,0,0,29,68,36,3
2020-05-14,6,0,0,35,74,36,3
2020-05-15,2,0,0,37,76,36,3
2020-05-16,2,4,0,35,78,40,3
2020-05-17,2,1,0,36,80,41,3
2020-05-18,10,2,0,44,90,43,3
2020-05-19,2,5,1,40,92,48,4
2020-05-20,18,3,0,55,110,51,4
2020-05-21,42,5,0,92,152,56,4
2020-05-22,16,0,0,108,168,56,4
2020-05-23,17,2,0,123,185,58,4
2020-05-24,18,2,0,139,203,60,4
2020-05-25,20,4,0,155,223,64,4
2020-05-26,24,0,0,179,247,64,4
2020-05-27,26,3,2,200,273,67,6
2020-05-28,8,7,0,201,281,74,6
2020-05-29,14,10,0,205,295,84,6
2020-05-30,18,24,0,199,313,108,6
2020-05-31,18,9,0,208,331,117,6
2020-06-01,9,2,0,215,340,119,6
2020-06-02,5,18,0,202,345,137,6
2020-06-03,14,10,0,206,359,147,6
2020-06-04,24,29,0,201,383,176,6
2020-06-05,10,10,0,201,393,186,6
2020-06-06,7,5,0,203,400,191,6
