Date,Confirmed,Recovered,Deceased,Active,Total Confirmed,Total Recovered,Total Deceased
2020-03-14,2,0,0,2,2,0,0
2020-03-15,0,0,0,2,2,0,0
2020-03-16,1,0,0,3,3,0,0
2020-03-17,0,0,0,3,3,0,0
2020-03-18,1,0,0,4,4,0,0
2020-03-19,0,0,0,4,4,0,0
2020-03-20,0,0,0,4,4,0,0
2020-03-21,0,0,0,4,4,0,0
2020-03-22,0,0,0,4,4,0,0
2020-03-23,0,0,0,4,4,0,0
2020-03-24,2,0,0,6,6,0,0
2020-03-25,5,1,0,10,11,1,0
2020-03-26,3,0,1,12,14,1,1
2020-03-27,6,0,0,18,20,1,1
2020-03-28,13,0,0,31,33,1,1
2020-03-29,5,0,0,36,38,1,1
2020-03-30,11,0,0,47,49,1,1
2020-03-31,6,0,1,52,55,1,2
2020-04-01,7,1,0,58,62,2,2
2020-04-02,8,1,0,65,70,3,2
2020-04-03,5,0,0,70,75,3,2
2020-04-04,17,0,0,87,92,3,2
2020-04-05,14,1,0,100,106,4,2
2020-04-06,3,0,0,103,109,4,2
2020-04-07,16,0,1,118,125,4,3
2020-04-08,33,2,0,149,158,6,3
2020-04-09,26,0,1,174,184,6,4
2020-04-10,23,0,0,197,207,6,4
2020-04-11,17,0,0,214,224,6,4
2020-04-12,21,0,0,235,245,6,4
2020-04-13,25,10,0,250,270,16,4
2020-04-14,8,14,0,244,278,30,4
2020-04-15,22,6,0,260,300,36,4
2020-04-16,14,2,0,272,314,38,4
2020-04-17,14,4,1,281,328,42,5
2020-04-18,13,9,0,285,341,51,5
2020-04-19,13,5,0,293,354,56,5
2020-04-20,14,15,0,292,368,71,5
2020-04-21,12,10,0,294,380,81,5
2020-04-22,27,11,0,310,407,92,5
2020-04-23,27,0,0,337,434,92,5
2020-04-24,20,17,0,340,454,109,5
2020-04-25,40,3,1,376,494,112,6
2020-04-26,29,25,0,380,523,137,6
2020-04-27,23,27,1,375,546,164,7
2020-04-28,19,12,1,381,565,176,8
2020-04-29,16,16,0,381,581,192,8
2020-04-30,33,24,0,390,614,216,8
2020-05-01,25,31,0,384,639,247,8
2020-05-02,27,7,0,404,666,254,8
2020-05-03,35,33,0,406,701,287,8
2020-05-04,25,16,0,415,726,303,8
2020-05-05,15,17,0,413,741,320,8
2020-05-06,34,2,0,445,775,322,8
2020-05-07,18,13,1,449,793,335,9
2020-05-08,30,29,0,450,823,364,9
2020-05-09,13,4,0,459,836,368,9
2020-05-10,25,15,0,469,861,383,9
2020-05-11,18,44,1,442,879,427,10
2020-05-12,55,28,0,469,934,455,10
2020-05-13,37,11,1,494,971,466,11
2020-05-14,12,19,0,487,983,485,11
2020-05-15,30,28,0,489,1013,513,11
2020-05-16,108,29,1,567,1121,542,12
2020-05-17,62,33,1,595,1183,575,13
2020-05-18,106,34,2,665,1289,609,15
2020-05-19,28,38,2,653,1317,647,17
2020-05-20,73,31,1,694,1390,678,18
2020-05-21,59,6,2,745,1449,684,20
2020-05-22,40,36,0,749,1489,720,20
2020-05-23,80,54,1,774,1569,774,21
2020-05-24,52,35,0,791,1621,809,21
2020-05-25,47,0,2,836,1668,809,23
2020-05-26,91,24,1,902,1759,833,24
2020-05-27,162,21,2,1041,1921,854,26
2020-05-28,115,5,1,1150,2036,859,27
2020-05-29,128,16,1,1261,2164,875,28
2020-05-30,177,33,0,1405,2341,908,28
2020-05-31,105,19,0,1491,2446,927,28
2020-06-01,155,19,3,1624,2601,946,31
2020-06-02,117,7,2,1732,2718,953,33
2020-06-03,139,54,1,1816,2857,1007,34
2020-06-04,285,41,1,2059,3142,1048,35
2020-06-05,182,38,1,2202,3324,1086,36
2020-06-06,143,40,3,2302,3467,1126,39
