Date,Confirmed,Recovered,Deceased,Active,Total Confirmed,Total Recovered,Total Deceased
2020-03-14,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0
2020-03-18,8,0,0,8,8,0,0
2020-03-19,0,0,0,8,8,0,0
2020-03-20,2,0,0,10,10,0,0
2020-03-21,3,0,0,13,13,0,0
2020-03-22,0,0,0,13,13,0,0
2020-03-23,0,0,0,13,13,0,0
2020-03-24,0,0,0,13,13,0,0
2020-03-25,0,0,0,13,13,0,0
2020-03-26,0,0,0,13,13,0,0
2020-03-27,0,3,0,10,13,3,0
2020-03-28,0,0,0,10,13,3,0
2020-03-29,0,0,0,10,13,3,0
2020-03-30,0,0,0,10,13,3,0
2020-03-31,0,0,0,10,13,3,0
2020-04-01,0,0,0,10,13,3,0
2020-04-02,0,0,0,10,13,3,0
2020-04-03,1,0,0,11,14,3,0
2020-04-04,0,0,0,11,14,3,0
2020-04-05,0,0,0,11,14,3,0
2020-04-06,0,7,0,4,14,10,0
2020-04-07,0,0,0,4,14,10,0
2020-04-08,0,0,0,4,14,10,0
2020-04-09,0,0,0,4,14,10,0
2020-04-10,1,1,0,4,15,11,0
2020-04-11,0,0,0,4,15,11,0
2020-04-12,0,0,0,4,15,11,0
2020-04-13,2,1,0,5,17,12,0
2020-04-14,0,0,0,5,17,12,0
2020-04-15,1,0,0,6,18,12,0
2020-04-16,0,2,0,4,18,14,0
2020-04-17,0,0,0,4,18,14,0
2020-04-18,0,0,0,4,18,14,0
2020-04-19,0,0,0,4,18,14,0
2020-04-20,0,0,0,4,18,14,0
2020-04-21,0,0,0,4,18,14,0
2020-04-22,0,0,0,4,18,14,0
2020-04-23,0,2,0,2,18,16,0
2020-04-24,0,0,0,2,18,16,0
2020-04-25,2,0,0,4,20,16,0
2020-04-26,0,0,0,4,20,16,0
2020-04-27,0,0,0,4,20,16,0
2020-04-28,2,0,0,6,22,16,0
2020-04-29,0,1,0,5,22,17,0
2020-04-30,0,0,0,5,22,17,0
2020-05-01,0,0,0,5,22,17,0
2020-05-02,1,0,0,6,23,17,0
2020-05-03,19,0,0,25,42,17,0
2020-05-04,0,0,0,25,42,17,0
2020-05-05,0,0,0,25,42,17,0
2020-05-06,0,0,0,25,42,17,0
2020-05-07,0,0,0,25,42,17,0
2020-05-08,0,1,0,24,42,18,0
2020-05-09,0,0,0,24,42,18,0
2020-05-10,0,3,0,21,42,21,0
2020-05-11,0,1,0,20,42,22,0
2020-05-12,0,0,0,20,42,22,0
2020-05-13,1,0,0,21,43,22,0
2020-05-14,0,0,0,21,43,22,0
2020-05-15,0,2,0,19,43,24,0
2020-05-16,0,0,0,19,43,24,0
2020-05-17,0,0,0,19,43,24,0
2020-05-18,0,19,0,0,43,43,0
2020-05-19,0,0,0,0,43,43,0
2020-05-20,1,0,0,1,44,43,0
2020-05-21,0,0,0,1,44,43,0
2020-05-22,2,0,0,3,46,43,0
2020-05-23,3,0,0,6,49,43,0
2020-05-24,3,0,0,9,52,43,0
2020-05-25,1,0,0,10,53,43,0
2020-05-26,0,0,0,10,53,43,0
2020-05-27,1,0,0,11,54,43,0
2020-05-28,20,0,0,31,74,43,0
2020-05-29,0,0,0,31,74,43,0
2020-05-30,3,0,0,34,77,43,0
2020-05-31,0,4,0,30,77,47,0
2020-06-01,0,0,0,30,77,47,0
2020-06-02,4,0,1,33,81,47,1
2020-06-03,9,1,0,41,90,48,1
2020-06-04,4,0,0,45,94,48,1
2020-06-05,3,0,0,48,97,48,1
2020-06-06,2,2,0,48,99,50,1
