Date,Confirmed,Recovered,Deceased,Active,Total Confirmed,Total Recovered,Total Deceased
2020-03-14,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0,0
2020-03-26,0,0,0,0,0,0,0
2020-03-27,0,0,0,0,0,0,0
2020-03-28,0,0,0,0,0,0,0
2020-03-29,0,0,0,0,0,0,0
2020-03-30,0,0,0,0,0,0,0
2020-03-31,0,0,0,0,0,0,0
2020-04-01,0,0,0,0,0,0,0
2020-04-02,0,0,0,0,0,0,0
2020-04-03,0,0,0,0,0,0,0
2020-04-04,0,0,0,0,0,0,0
2020-04-05,0,0,0,0,0,0,0
2020-04-06,0,0,0,0,0,0,0
2020-04-07,0,0,0,0,0,0,0
2020-04-08,0,0,0,0,0,0,0
2020-04-09,0,0,0,0,0,0,0
2020-04-10,0,0,0,0,0,0,0
2020-04-11,0,0,0,0,0,0,0
2020-04-12,0,0,0,0,0,0,0
2020-04-13,1,0,0,1,1,0,0
2020-04-14,0,0,0,1,1,0,0
2020-04-15,6,0,1,6,7,0,1
2020-04-16,2,0,0,8,9,0,1
2020-04-17,0,0,0,8,9,0,1
2020-04-18,2,0,0,10,11,0,1
2020-04-19,0,0,0,10,11,0,1
2020-04-20,0,0,0,10,11,0,1
2020-04-21,1,0,0,11,12,0,1
2020-04-22,0,0,0,11,12,0,1
2020-04-23,0,0,0,11,12,0,1
2020-04-24,0,0,0,11,12,0,1
2020-04-25,0,0,0,11,12,0,1
2020-04-26,0,0,0,11,12,0,1
2020-04-27,0,0,0,11,12,0,1
2020-04-28,0,0,0,11,12,0,1
2020-04-29,0,0,0,11,12,0,1
2020-04-30,0,0,0,11,12,0,1
2020-05-01,0,10,0,1,12,10,1
2020-05-02,0,0,0,1,12,10,1
2020-05-03,0,0,0,1,12,10,1
2020-05-04,0,0,0,1,12,10,1
2020-05-05,0,0,0,1,12,10,1
2020-05-06,0,0,0,1,12,10,1
2020-05-07,0,0,0,1,12,10,1
2020-05-08,0,0,0,1,12,10,1
2020-05-09,1,0,0,2,13,10,1
2020-05-10,0,0,0,2,13,10,1
2020-05-11,0,0,0,2,13,10,1
2020-05-12,0,0,0,2,13,10,1
2020-05-13,0,1,0,1,13,11,1
2020-05-14,0,0,0,1,13,11,1
2020-05-15,0,0,0,1,13,11,1
2020-05-16,0,0,0,1,13,11,1
2020-05-17,0,0,0,1,13,11,1
2020-05-18,0,1,0,0,13,12,1
2020-05-19,0,0,0,0,13,12,1
2020-05-20,1,0,0,1,14,12,1
2020-05-21,0,0,0,1,14,12,1
2020-05-22,0,0,0,1,14,12,1
2020-05-23,0,0,0,1,14,12,1
2020-05-24,0,0,0,1,14,12,1
2020-05-25,1,0,0,2,15,12,1
2020-05-26,5,0,0,7,20,12,1
2020-05-27,0,0,0,7,20,12,1
2020-05-28,1,0,0,8,21,12,1
2020-05-29,6,0,0,14,27,12,1
2020-05-30,0,0,0,14,27,12,1
2020-05-31,0,0,0,14,27,12,1
2020-06-01,1,0,0,15,28,12,1
2020-06-02,2,0,0,17,30,12,1
2020-06-03,3,1,0,19,33,13,1
2020-06-04,0,0,0,19,33,13,1
2020-06-05,0,0,0,19,33,13,1
2020-06-06,0,0,0,19,33,13,1
