Date,Confirmed,Recovered,Deceased,Active,Total Confirmed,Total Recovered,Total Deceased
2020-03-14,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0
2020-03-20,4,0,0,4,4,0,0
2020-03-21,0,0,0,4,4,0,0
2020-03-22,2,0,0,6,6,0,0
2020-03-23,0,0,0,6,6,0,0
2020-03-24,1,0,0,7,7,0,0
2020-03-25,8,0,1,14,15,0,1
2020-03-26,5,0,0,19,20,0,1
2020-03-27,9,0,1,27,29,0,2
2020-03-28,10,0,0,37,39,0,2
2020-03-29,0,0,0,37,39,0,2
2020-03-30,8,0,2,43,47,0,4
2020-03-31,19,0,1,61,66,0,5
2020-04-01,32,0,1,92,98,0,6
2020-04-02,9,0,2,99,107,0,8
2020-04-03,47,0,0,146,154,0,8
2020-04-04,25,0,3,168,179,0,11
2020-04-05,14,3,2,177,193,3,13
2020-04-06,63,8,2,230,256,11,15
2020-04-07,34,10,6,248,290,21,21
2020-04-08,51,4,3,292,341,25,24
2020-04-09,70,0,9,353,411,25,33
2020-04-10,40,12,4,377,451,37,37
2020-04-11,78,1,4,450,529,38,41
2020-04-12,33,3,3,477,562,41,44
2020-04-13,52,10,7,512,614,51,51
2020-04-14,127,13,3,623,741,64,54
2020-04-15,197,0,0,820,938,64,54
2020-04-16,226,6,2,1038,1164,70,56
2020-04-17,146,0,14,1170,1310,70,70
2020-04-18,92,57,0,1205,1402,127,70
2020-04-19,5,4,3,1203,1407,131,73
2020-04-20,78,7,4,1270,1485,138,77
2020-04-21,67,10,4,1323,1552,148,81
2020-04-22,35,4,0,1354,1587,152,81
2020-04-23,100,51,3,1400,1687,203,84
2020-04-24,159,7,9,1543,1846,210,93
2020-04-25,99,71,7,1564,1945,281,100
2020-04-26,145,21,4,1684,2090,302,104
2020-04-27,75,55,7,1697,2165,357,111
2020-04-28,222,16,10,1893,2387,373,121
2020-04-29,173,88,10,1968,2560,461,131
2020-04-30,65,21,7,2005,2625,482,138
2020-05-01,90,42,8,2045,2715,524,146
2020-05-02,73,100,6,2012,2788,624,152
2020-05-03,49,174,5,1882,2837,798,157
2020-05-04,105,58,9,1920,2942,856,166
2020-05-05,107,144,11,1872,3049,1000,177
2020-05-06,89,99,9,1853,3138,1099,186
2020-05-07,114,132,8,1827,3252,1231,194
2020-05-08,89,118,7,1791,3341,1349,201
2020-05-09,116,131,11,1765,3457,1480,212
2020-05-10,157,196,4,1722,3614,1676,216
2020-05-11,171,71,6,1816,3785,1747,222
2020-05-12,201,113,4,1900,3986,1860,226
2020-05-13,187,144,7,1936,4173,2004,233
2020-05-14,253,167,5,2017,4426,2171,238
2020-05-15,169,112,2,2072,4595,2283,240
2020-05-16,195,32,4,2231,4790,2315,244
2020-05-17,187,88,5,2325,4977,2403,249
2020-05-18,259,32,4,2548,5236,2435,253
2020-05-19,229,196,6,2575,5465,2631,259
2020-05-20,270,103,9,2733,5735,2734,268
2020-05-21,246,110,4,2865,5981,2844,272
2020-05-22,189,245,1,2808,6170,3089,273
2020-05-23,201,178,9,2822,6371,3267,282
2020-05-24,294,141,9,2966,6665,3408,291
2020-05-25,194,163,10,2987,6859,3571,301
2020-05-26,165,118,5,3029,7024,3689,306
2020-05-27,237,238,8,3020,7261,3927,314
2020-05-28,192,123,8,3081,7453,4050,322
2020-05-29,192,219,13,3041,7645,4269,335
2020-05-30,246,175,9,3103,7891,4444,344
2020-05-31,198,398,7,2896,8089,4842,351
2020-06-01,194,161,8,2921,8283,5003,359
2020-06-02,137,218,6,2834,8420,5221,365
2020-06-03,168,224,7,2771,8588,5445,372
2020-06-04,174,192,6,2747,8762,5637,378
2020-06-05,234,241,7,2733,8996,5878,385
2020-06-06,232,230,15,2720,9228,6108,400
