Date,Confirmed,Recovered,Deceased,Active,Total Confirmed,Total Recovered,Total Deceased
2020-03-14,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0
2020-03-16,1,0,0,1,1,0,0
2020-03-17,0,0,0,1,1,0,0
2020-03-18,1,0,0,2,2,0,0
2020-03-19,0,0,0,2,2,0,0
2020-03-20,0,0,0,2,2,0,0
2020-03-21,0,0,0,2,2,0,0
2020-03-22,0,0,0,2,2,0,0
2020-03-23,0,0,0,2,2,0,0
2020-03-24,0,0,0,2,2,0,0
2020-03-25,0,0,0,2,2,0,0
2020-03-26,1,0,0,3,3,0,0
2020-03-27,0,0,0,3,3,0,0
2020-03-28,0,0,0,3,3,0,0
2020-03-29,0,0,0,3,3,0,0
2020-03-30,0,0,0,3,3,0,0
2020-03-31,1,0,0,4,4,0,0
2020-04-01,1,1,0,4,5,1,0
2020-04-02,0,0,0,4,5,1,0
2020-04-03,15,1,0,18,20,2,0
2020-04-04,1,0,0,19,21,2,0
2020-04-05,18,0,0,37,39,2,0
2020-04-06,1,0,0,38,40,2,0
2020-04-07,2,0,1,39,42,2,1
2020-04-08,0,0,0,39,42,2,1
2020-04-09,6,0,0,45,48,2,1
2020-04-10,2,10,0,37,50,12,1
2020-04-11,4,0,0,41,54,12,1
2020-04-12,0,0,0,41,54,12,1
2020-04-13,1,6,0,36,55,18,1
2020-04-14,5,0,0,41,60,18,1
2020-04-15,0,1,0,40,60,19,1
2020-04-16,0,0,0,40,60,19,1
2020-04-17,0,2,0,38,60,21,1
2020-04-18,1,3,0,36,61,24,1
2020-04-19,0,0,0,36,61,24,1
2020-04-20,13,0,0,49,74,24,1
2020-04-21,5,6,0,48,79,30,1
2020-04-22,4,2,0,50,83,32,1
2020-04-23,6,1,0,55,89,33,1
2020-04-24,5,0,0,60,94,33,1
2020-04-25,6,1,0,65,100,34,1
2020-04-26,3,1,0,67,103,35,1
2020-04-27,15,2,0,80,118,37,1
2020-04-28,0,1,0,79,118,38,1
2020-04-29,7,1,0,85,125,39,1
2020-04-30,18,2,0,101,143,41,1
2020-05-01,11,14,0,98,154,55,1
2020-05-02,6,1,0,103,160,56,1
2020-05-03,2,4,0,101,162,60,1
2020-05-04,7,0,0,108,169,60,1
2020-05-05,8,0,1,115,177,60,2
2020-05-06,28,1,0,142,205,61,2
2020-05-07,14,1,0,155,219,62,2
2020-05-08,51,1,0,205,270,63,2
2020-05-09,82,5,1,281,352,68,3
2020-05-10,25,0,0,306,377,68,3
2020-05-11,38,17,0,327,415,85,3
2020-05-12,22,31,0,318,437,116,3
2020-05-13,101,27,0,392,538,143,3
2020-05-14,134,15,0,511,672,158,3
2020-05-15,65,8,0,568,737,166,3
2020-05-16,0,30,0,538,737,196,3
2020-05-17,91,24,1,604,828,220,4
2020-05-18,48,57,0,595,876,277,4
2020-05-19,102,30,1,666,978,307,5
2020-05-20,74,36,1,703,1052,343,6
2020-05-21,51,50,1,703,1103,393,7
2020-05-22,86,43,0,746,1189,436,7
2020-05-23,80,61,0,765,1269,497,7
2020-05-24,67,53,0,779,1336,550,7
2020-05-25,102,99,0,782,1438,649,7
2020-05-26,79,84,0,777,1517,733,7
2020-05-27,76,79,0,774,1593,812,7
2020-05-28,67,75,0,766,1660,887,7
2020-05-29,63,90,2,737,1723,977,9
2020-05-30,96,73,0,760,1819,1050,9
2020-05-31,129,76,0,813,1948,1126,9
2020-06-01,156,119,0,850,2104,1245,9
2020-06-02,141,80,0,911,2245,1325,9
2020-06-03,143,91,0,963,2388,1416,9
2020-06-04,90,65,0,988,2478,1481,9
2020-06-05,130,123,1,994,2608,1604,10
2020-06-06,173,112,0,1055,2781,1716,10
