Date,Confirmed,Recovered,Deceased,Active,Total Confirmed,Total Recovered,Total Deceased
2020-03-14,1,0,0,1,1,0,0
2020-03-15,0,0,0,1,1,0,0
2020-03-16,0,0,0,1,1,0,0
2020-03-17,0,0,0,1,1,0,0
2020-03-18,1,0,0,2,2,0,0
2020-03-19,0,0,1,1,2,0,1
2020-03-20,1,0,0,2,3,0,1
2020-03-21,10,0,0,12,13,0,1
2020-03-22,8,0,0,20,21,0,1
2020-03-23,2,0,0,22,23,0,1
2020-03-24,6,0,0,28,29,0,1
2020-03-25,2,0,0,30,31,0,1
2020-03-26,2,0,0,32,33,0,1
2020-03-27,5,1,0,36,38,1,1
2020-03-28,0,0,0,36,38,1,1
2020-03-29,0,0,0,36,38,1,1
2020-03-30,3,0,2,37,41,1,3
2020-03-31,1,0,1,37,42,1,4
2020-04-01,4,0,0,41,46,1,4
2020-04-02,1,0,1,41,47,1,5
2020-04-03,6,0,0,47,53,1,5
2020-04-04,12,2,0,57,65,3,5
2020-04-05,3,1,2,57,68,4,7
2020-04-06,11,0,0,68,79,4,7
2020-04-07,20,10,1,77,99,14,8
2020-04-08,7,0,1,83,106,14,9
2020-04-09,24,4,1,102,130,18,10
2020-04-10,21,2,1,120,151,20,11
2020-04-11,7,0,1,126,158,20,12
2020-04-12,12,3,0,135,170,23,12
2020-04-13,6,2,0,139,176,25,12
2020-04-14,8,2,1,144,184,27,13
2020-04-15,2,0,0,146,186,27,13
2020-04-16,11,2,1,154,197,29,14
2020-04-17,14,1,0,167,211,30,14
2020-04-18,23,1,2,187,234,31,16
2020-04-19,10,6,0,191,244,37,16
2020-04-20,1,1,0,191,245,38,16
2020-04-21,6,11,0,186,251,49,16
2020-04-22,27,4,0,209,278,53,16
2020-04-23,5,13,1,200,283,66,17
2020-04-24,15,4,0,211,298,70,17
2020-04-25,10,2,0,219,308,72,17
2020-04-26,14,12,1,220,322,84,18
2020-04-27,8,14,1,213,330,98,19
2020-04-28,12,3,0,222,342,101,19
2020-04-29,33,0,0,255,375,101,19
2020-04-30,105,3,1,356,480,104,20
2020-05-01,105,4,0,457,585,108,20
2020-05-02,187,4,0,640,772,112,20
2020-05-03,330,5,1,964,1102,117,21
2020-05-04,130,11,2,1081,1232,128,23
2020-05-05,219,5,2,1293,1451,133,25
2020-05-06,75,2,2,1364,1526,135,27
2020-05-07,118,14,1,1467,1644,149,28
2020-05-08,87,3,1,1550,1731,152,29
2020-05-09,31,5,2,1574,1762,157,31
2020-05-10,61,9,0,1626,1823,166,31
2020-05-11,54,2,0,1678,1877,168,31
2020-05-12,37,3,1,1711,1914,171,32
2020-05-13,10,29,0,1692,1924,200,32
2020-05-14,11,23,0,1680,1935,223,32
2020-05-15,-3,82,0,1595,1932,305,32
2020-05-16,14,952,0,657,1946,1257,32
2020-05-17,18,109,3,563,1964,1366,35
2020-05-18,16,181,2,396,1980,1547,37
2020-05-19,22,95,1,322,2002,1642,38
2020-05-20,3,152,0,173,2005,1794,38
2020-05-21,23,25,1,170,2028,1819,39
2020-05-22,1,28,0,143,2029,1847,39
2020-05-23,16,23,0,136,2045,1870,39
2020-05-24,15,28,1,122,2060,1898,40
2020-05-25,21,15,0,128,2081,1913,40
2020-05-26,25,5,0,148,2106,1918,40
2020-05-27,33,0,0,181,2139,1918,40
2020-05-28,19,28,0,172,2158,1946,40
2020-05-29,39,3,2,206,2197,1949,42
2020-05-30,36,18,2,222,2233,1967,44
2020-05-31,30,20,1,231,2263,1987,45
2020-06-01,38,13,-1,257,2301,2000,44
2020-06-02,41,17,2,279,2342,2017,46
2020-06-03,34,12,1,300,2376,2029,47
2020-06-04,39,14,0,325,2415,2043,47
2020-06-05,46,26,1,344,2461,2069,48
2020-06-06,54,23,2,373,2515,2092,50
