Date,Confirmed,Recovered,Deceased,Active,Total Confirmed,Total Recovered,Total Deceased
2020-03-14,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0
2020-03-16,1,0,0,1,1,0,0
2020-03-17,0,0,0,1,1,0,0
2020-03-18,0,0,0,1,1,0,0
2020-03-19,0,0,0,1,1,0,0
2020-03-20,0,0,0,1,1,0,0
2020-03-21,0,0,0,1,1,0,0
2020-03-22,0,0,0,1,1,0,0
2020-03-23,0,0,0,1,1,0,0
2020-03-24,0,0,0,1,1,0,0
2020-03-25,0,0,0,1,1,0,0
2020-03-26,0,0,0,1,1,0,0
2020-03-27,0,0,0,1,1,0,0
2020-03-28,0,0,0,1,1,0,0
2020-03-29,0,0,0,1,1,0,0
2020-03-30,0,0,0,1,1,0,0
2020-03-31,0,0,0,1,1,0,0
2020-04-01,2,0,0,3,3,0,0
2020-04-02,2,0,0,5,5,0,0
2020-04-03,0,0,0,5,5,0,0
2020-04-04,0,0,0,5,5,0,0
2020-04-05,0,0,0,5,5,0,0
2020-04-06,0,0,0,5,5,0,0
2020-04-07,0,1,0,4,5,1,0
2020-04-08,0,0,0,4,5,1,0
2020-04-09,0,0,0,4,5,1,0
2020-04-10,2,0,0,6,7,1,0
2020-04-11,0,0,0,6,7,1,0
2020-04-12,0,0,0,6,7,1,0
2020-04-13,0,0,0,6,7,1,0
2020-04-14,0,0,0,6,7,1,0
2020-04-15,0,0,0,6,7,1,0
2020-04-16,0,0,0,6,7,1,0
2020-04-17,0,0,0,6,7,1,0
2020-04-18,0,3,0,3,7,4,0
2020-04-19,0,0,0,3,7,4,0
2020-04-20,0,0,0,3,7,4,0
2020-04-21,0,0,0,3,7,4,0
2020-04-22,0,0,0,3,7,4,0
2020-04-23,0,0,0,3,7,4,0
2020-04-24,0,0,0,3,7,4,0
2020-04-25,1,0,0,4,8,4,0
2020-04-26,0,0,0,4,8,4,0
2020-04-27,0,1,0,3,8,5,0
2020-04-28,0,0,0,3,8,5,0
2020-04-29,0,0,0,3,8,5,0
2020-04-30,0,0,0,3,8,5,0
2020-05-01,0,0,0,3,8,5,0
2020-05-02,1,0,0,4,9,5,0
2020-05-03,0,1,0,3,9,6,0
2020-05-04,0,0,0,3,9,6,0
2020-05-05,0,0,0,3,9,6,0
2020-05-06,0,0,0,3,9,6,0
2020-05-07,0,0,0,3,9,6,0
2020-05-08,1,2,0,2,10,8,0
2020-05-09,0,0,0,2,10,8,0
2020-05-10,2,1,0,3,12,9,0
2020-05-11,0,0,0,3,12,9,0
2020-05-12,0,0,0,3,12,9,0
2020-05-13,1,0,0,4,13,9,0
2020-05-14,3,0,0,7,16,9,0
2020-05-15,0,0,0,7,16,9,0
2020-05-16,1,0,0,8,17,9,0
2020-05-17,0,0,0,8,17,9,0
2020-05-18,0,0,0,8,17,9,0
2020-05-19,5,1,0,12,22,10,0
2020-05-20,1,0,0,13,23,10,0
2020-05-21,0,0,0,13,23,10,0
2020-05-22,3,0,0,16,26,10,0
2020-05-23,0,0,0,16,26,10,0
2020-05-24,15,2,0,29,41,12,0
2020-05-25,8,5,0,32,49,17,0
2020-05-26,0,0,0,32,49,17,0
2020-05-27,0,0,0,32,49,17,0
2020-05-28,4,0,0,36,53,17,0
2020-05-29,4,6,0,34,57,23,0
2020-05-30,0,0,0,34,57,23,0
2020-05-31,13,2,0,45,70,25,0
2020-06-01,9,0,0,54,79,25,0
2020-06-02,0,0,0,54,79,25,0
2020-06-03,11,8,0,57,90,33,0
2020-06-04,9,4,0,62,99,37,0
2020-06-05,5,6,0,61,104,43,0
2020-06-06,3,5,0,59,107,48,0
