Date,Confirmed,Recovered,Deceased,Active,Total Confirmed,Total Recovered,Total Deceased
2020-03-14,1,0,0,1,1,0,0
2020-03-15,2,1,0,2,3,1,0
2020-03-16,1,0,0,3,4,1,0
2020-03-17,1,0,0,4,5,1,0
2020-03-18,8,0,0,12,13,1,0
2020-03-19,3,0,0,15,16,1,0
2020-03-20,3,0,0,18,19,1,0
2020-03-21,2,0,0,20,21,1,0
2020-03-22,6,0,0,26,27,1,0
2020-03-23,6,0,0,32,33,1,0
2020-03-24,4,0,0,36,37,1,0
2020-03-25,4,0,0,40,41,1,0
2020-03-26,3,0,0,43,44,1,0
2020-03-27,15,0,0,58,59,1,0
2020-03-28,8,0,1,65,67,1,1
2020-03-29,3,0,0,68,70,1,1
2020-03-30,7,13,5,57,77,14,6
2020-03-31,20,0,0,77,97,14,6
2020-04-01,30,0,3,104,127,14,9
2020-04-02,27,3,0,128,154,17,9
2020-04-03,75,15,2,186,229,32,11
2020-04-04,43,1,0,228,272,33,11
2020-04-05,62,0,0,290,334,33,11
2020-04-06,30,12,0,308,364,45,11
2020-04-07,40,0,0,348,404,45,11
2020-04-08,49,0,0,397,453,45,11
2020-04-09,18,0,1,414,471,45,12
2020-04-10,16,0,0,430,487,45,12
2020-04-11,16,51,2,393,503,96,14
2020-04-12,28,7,2,412,531,103,16
2020-04-13,61,0,1,472,592,103,17
2020-04-14,52,7,1,516,644,110,18
2020-04-15,6,8,0,514,650,118,18
2020-04-16,50,68,0,496,700,186,18
2020-04-17,66,0,0,562,766,186,18
2020-04-18,43,0,0,605,809,186,18
2020-04-19,49,0,3,651,858,186,21
2020-04-20,14,0,2,663,872,186,23
2020-04-21,56,8,0,711,928,194,23
2020-04-22,15,0,1,725,943,194,24
2020-04-23,27,58,1,693,970,252,25
2020-04-24,13,39,0,667,983,291,25
2020-04-25,7,16,0,658,990,307,25
2020-04-26,11,9,0,660,1001,316,25
2020-04-27,2,16,0,646,1003,332,25
2020-04-28,6,42,0,610,1009,374,25
2020-04-29,7,35,0,582,1016,409,25
2020-04-30,22,33,3,568,1038,442,28
2020-05-01,6,22,0,552,1044,464,28
2020-05-02,17,35,1,533,1061,499,29
2020-05-03,21,46,0,508,1082,545,29
2020-05-04,3,40,0,471,1085,585,29
2020-05-05,11,43,0,439,1096,628,29
2020-05-06,11,20,0,430,1107,648,29
2020-05-07,15,45,0,400,1122,693,29
2020-05-08,10,34,0,376,1132,727,29
2020-05-09,31,24,1,382,1163,751,30
2020-05-10,33,0,0,415,1196,751,30
2020-05-11,79,50,0,444,1275,801,30
2020-05-12,51,21,2,472,1326,822,32
2020-05-13,41,117,2,394,1367,939,34
2020-05-14,47,13,0,428,1414,952,34
2020-05-15,40,7,0,461,1454,959,34
2020-05-16,55,12,0,504,1509,971,34
2020-05-17,42,21,0,525,1551,992,34
2020-05-18,41,10,0,556,1592,1002,34
2020-05-19,42,9,4,585,1634,1011,38
2020-05-20,27,2,2,608,1661,1013,40
2020-05-21,38,23,5,618,1699,1036,45
2020-05-22,62,7,3,670,1761,1043,48
2020-05-23,52,25,1,696,1813,1068,49
2020-05-24,41,24,4,709,1854,1092,53
2020-05-25,66,72,3,700,1920,1164,56
2020-05-26,112,120,1,691,2032,1284,57
2020-05-27,107,37,6,755,2139,1321,63
2020-05-28,117,24,4,844,2256,1345,67
2020-05-29,169,36,4,973,2425,1381,71
2020-05-30,74,31,6,1010,2499,1412,77
2020-05-31,199,16,5,1188,2698,1428,82
2020-06-01,94,63,6,1213,2792,1491,88
2020-06-02,99,35,4,1273,2891,1526,92
2020-06-03,129,30,7,1365,3020,1556,99
2020-06-04,127,31,6,1455,3147,1587,105
2020-06-05,143,40,8,1550,3290,1627,113
2020-06-06,206,83,10,1663,3496,1710,123
