Date,Confirmed,Recovered,Deceased,Active,Total Confirmed,Total Recovered,Total Deceased
2020-03-14,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0,0
2020-03-26,0,0,0,0,0,0,0
2020-03-27,0,0,0,0,0,0,0
2020-03-28,0,0,0,0,0,0,0
2020-03-29,0,0,0,0,0,0,0
2020-03-30,0,0,0,0,0,0,0
2020-03-31,0,0,0,0,0,0,0
2020-04-01,0,0,0,0,0,0,0
2020-04-02,0,0,0,0,0,0,0
2020-04-03,0,0,0,0,0,0,0
2020-04-04,0,0,0,0,0,0,0
2020-04-05,0,0,0,0,0,0,0
2020-04-06,0,0,0,0,0,0,0
2020-04-07,0,0,0,0,0,0,0
2020-04-08,0,0,0,0,0,0,0
2020-04-09,0,0,0,0,0,0,0
2020-04-10,0,0,0,0,0,0,0
2020-04-11,0,0,0,0,0,0,0
2020-04-12,0,0,0,0,0,0,0
2020-04-13,0,0,0,0,0,0,0
2020-04-14,0,0,0,0,0,0,0
2020-04-15,0,0,0,0,0,0,0
2020-04-16,0,0,0,0,0,0,0
2020-04-17,0,0,0,0,0,0,0
2020-04-18,0,0,0,0,0,0,0
2020-04-19,0,0,0,0,0,0,0
2020-04-20,0,0,0,0,0,0,0
2020-04-21,0,0,0,0,0,0,0
2020-04-22,0,0,0,0,0,0,0
2020-04-23,0,0,0,0,0,0,0
2020-04-24,0,0,0,0,0,0,0
2020-04-25,0,0,0,0,0,0,0
2020-04-26,0,0,0,0,0,0,0
2020-04-27,0,0,0,0,0,0,0
2020-04-28,0,0,0,0,0,0,0
2020-04-29,0,0,0,0,0,0,0
2020-04-30,0,0,0,0,0,0,0
2020-05-01,0,0,0,0,0,0,0
2020-05-02,0,0,0,0,0,0,0
2020-05-03,0,0,0,0,0,0,0
2020-05-04,0,0,0,0,0,0,0
2020-05-05,0,0,0,0,0,0,0
2020-05-06,0,0,0,0,0,0,0
2020-05-07,0,0,0,0,0,0,0
2020-05-08,0,0,0,0,0,0,0
2020-05-09,0,0,0,0,0,0,0
2020-05-10,0,0,0,0,0,0,0
2020-05-11,0,0,0,0,0,0,0
2020-05-12,0,0,0,0,0,0,0
2020-05-13,0,0,0,0,0,0,0
2020-05-14,0,0,0,0,0,0,0
2020-05-15,0,0,0,0,0,0,0
2020-05-16,0,0,0,0,0,0,0
2020-05-17,0,0,0,0,0,0,0
2020-05-18,0,0,0,0,0,0,0
2020-05-19,814,0,0,814,814,0,0
2020-05-20,282,0,0,1096,1096,0,0
2020-05-21,307,0,0,1403,1403,0,0
2020-05-22,217,0,0,1620,1620,0,0
2020-05-23,279,0,0,1899,1899,0,0
2020-05-24,439,0,0,2338,2338,0,0
2020-05-25,304,0,0,2642,2642,0,0
2020-05-26,328,0,0,2970,2970,0,0
2020-05-27,1043,0,0,4013,4013,0,0
2020-05-28,319,0,0,4332,4332,0,0
2020-05-29,341,0,0,4673,4673,0,0
2020-05-30,370,0,0,5043,5043,0,0
2020-05-31,448,0,0,5491,5491,0,0
2020-06-01,139,0,0,5630,5630,0,0
2020-06-02,784,0,0,6414,6414,0,0
2020-06-03,709,0,0,7123,7123,0,0
2020-06-04,360,0,0,7483,7483,0,0
2020-06-05,127,0,0,7610,7610,0,0
2020-06-06,582,0,0,8192,8192,0,0
